,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Day,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
phase 1 coronavirus,0,0,2,0,0,0,2,2,0,0,3,2,0,2,40,99,49,49,100,94,64,67,60,33,42,58,51,23
john hopkins coronavirus,100,80,74,84,81,69,63,57,50,50,48,54,48,43,44,44,41,43,41,41,30,27,26,25,27,30,23,19
new york city coronavirus deaths,53,65,100,57,95,54,54,69,64,53,75,46,79,44,37,59,94,65,33,53,56,51,44,34,30,49,38,30
stimulus check,11,9,7,8,8,9,10,14,16,20,17,37,46,100,75,54,40,27,30,28,27,24,24,20,19,24,24,23
quinine,4,4,5,5,6,30,100,64,41,34,20,15,12,9,7,5,6,5,4,5,4,4,4,3,4,2,3,2
cats coronavirus,32.0,35.0,50.0,87.0,92.0,60.0,52.0,37.0,48.0,31.0,23.0,31.0,34.0,28.0,22.0,26.0,27.0,16.0,20.0,27.0,48.0,100.0,45.0,27.0,18.0,17.0,0.0,0.0
protesters coronavirus,0,7,0,0,0,0,0,7,4,0,0,4,3,10,23,29,38,36,66,93,100,50,41,16,14,19,7,17
pornhub,89,89,98,100,93,95,89,91,90,94,98,93,92,84,88,83,96,97,87,87,88,84,87,91,93,87,85,88
joe exotic,88,100,79,73,49,44,41,54,42,41,42,34,31,22,20,19,21,21,12,11,11,12,10,12,12,8,8,7
stock market,64,55,25,23,64,70,64,76,100,26,25,63,58,52,54,55,26,23,63,58,48,47,43,18,18,45,45,52
colby cave,0,0,0,0,0,3,4,4,2,100,47,7,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
