,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20
phase 1 coronavirus,0,0,2,2,2,2,4,6,6,6,9,11,11,13,53,152,201,250,350,444,508,575,635,668,710,768,819,842
john hopkins coronavirus,100,180,254,338,419,488,551,608,658,708,756,810,858,901,945,989,1030,1073,1114,1155,1185,1212,1238,1263,1290,1320,1343,1362
new york city coronavirus deaths,53,118,218,275,370,424,478,547,611,664,739,785,864,908,945,1004,1098,1163,1196,1249,1305,1356,1400,1434,1464,1513,1551,1581
stimulus check,11,20,27,35,43,52,62,76,92,112,129,166,212,312,387,441,481,508,538,566,593,617,641,661,680,704,728,751
quinine,4,8,13,18,24,54,154,218,259,293,313,328,340,349,356,361,367,372,376,381,385,389,393,396,400,402,405,407
cats coronavirus,32,67,117,204,296,356,408,445,493,524,547,578,612,640,662,688,715,731,751,778,826,926,971,998,1016,1033,1033,1033
protesters coronavirus,0,7,7,7,7,7,7,14,18,18,18,22,25,35,58,87,125,161,227,320,420,470,511,527,541,560,567,584
joe exotic,88,188,267,340,389,433,474,528,570,611,653,687,718,740,760,779,800,821,833,844,855,867,877,889,901,909,917,924
colby cave,0,0,0,0,0,3,7,11,13,113,160,167,171,173,174,175,176,177,178,178,178,178,178,178,178,178,178,178
hydroxychloroquine,34,66,112,172,261,361,435,481,516,543,567,591,617,637,654,668,680,691,702,721,750,775,804,826,838,846,856,864
kim jong un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,41,49,54,143,243,278,297,311
ny coronavirus update,100,178,257,337,426,521,617,701,765,842,912,987,1052,1107,1168,1221,1258,1300,1337,1373,1434,1471,1522,1569,1623,1667,1714,1754
brian dennehy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,163,178,185,188,190,191,192,193,194,195,196,197,197
cdc coronavirus map,87,185,267,366,439,502,544,597,655,706,765,865,965,1036,1113,1190,1249,1311,1395,1469,1535,1577,1621,1656,1678,1709,1762,1810
irs,12,24,33,41,53,65,77,93,112,135,153,189,226,326,400,453,496,526,566,604,642,675,710,740,766,803,835,866
thank you coronavirus helpers,0,0,0,0,79,179,271,362,449,474,476,544,633,717,791,872,964,989,991,992,993,994,994,994,994,994,994,994
concert for coronavirus,2,4,7,11,17,19,19,21,23,31,34,39,42,46,50,61,161,224,237,247,254,258,260,265,265,265,265,265
Stay at home order,100,187,249,295,342,387,429,468,506,545,575,619,663,711,792,857,904,943,999,1062,1123,1210,1304,1361,1412,1500,1589,1676
covid symptoms,100,190,276,361,448,524,594,657,716,774,826,880,934,978,1029,1073,1117,1158,1200,1245,1291,1338,1378,1423,1467,1522,1522,1522
reopening coronavirus,2,3,5,7,11,13,16,21,25,30,37,52,73,99,133,195,246,290,352,424,485,552,617,668,723,823,909,989
coronavirus prevention,2,82,123,130,134,136,207,302,402,439,443,446,449,451,453,456,458,460,461,529,552,620,695,722,727,729,731,732
masks for coronavirus,43,115,187,232,270,301,323,351,373,398,420,450,498,565,665,744,840,893,955,1016,1062,1105,1157,1203,1240,1276,1315,1347
easter,6,13,22,35,45,56,68,82,102,132,232,245,248,250,252,254,256,259,260,261,262,263,264,265,266,267,268,269
boris johnson,2,3,5,26,116,216,265,295,309,318,328,332,335,337,339,341,343,345,347,349,350,352,353,354,355,356,357,360
nick cordero,6,8,9,10,10,11,11,11,11,21,38,51,60,66,69,74,105,205,243,261,278,290,301,321,339,347,358,368
ppe for coronavirus,12,45,59,76,88,102,118,128,139,146,165,177,191,205,225,239,275,353,420,502,602,674,747,811,832,858,874,890
dow jones,100,186,204,214,303,400,499,594,651,663,672,753,831,905,981,1053,1067,1074,1149,1227,1295,1363,1425,1436,1442,1501,1565,1632
china coronavirus,100,187,275,371,448,516,579,634,683,733,788,851,916,974,1040,1102,1155,1202,1242,1279,1312,1342,1370,1393,1419,1445,1468,1489
chris cuomo,100,178,264,340,404,465,509,563,599,640,672,705,758,801,879,915,942,960,975,1007,1033,1065,1083,1110,1124,1133,1147,1159
john prine,8,14,19,24,29,33,133,154,164,173,180,183,186,188,190,192,194,197,198,199,200,201,202,203,204,205,206,207
sweden herd immunity coronavirus,3,8,11,14,14,17,17,20,25,30,33,38,38,43,46,51,57,63,72,78,83,86,97,107,117,217,297,356
good friday,2,5,7,10,14,18,24,41,141,160,166,168,169,169,169,170,170,170,170,170,170,170,171,171,171,171,171,171
remdesivir,3,6,9,13,18,22,25,28,31,40,45,51,56,59,69,132,155,165,174,181,189,201,208,212,215,220,224,324
tiger coronavirus,12,31,52,116,216,249,268,285,298,308,316,325,333,341,347,352,359,363,367,372,375,380,385,389,390,392,393,394
eddie vedder,2,3,5,6,7,8,9,10,11,12,14,15,16,17,18,19,22,122,128,130,131,133,134,136,139,140,141,142
nfl draft,2,4,6,8,10,12,14,16,18,21,24,27,31,34,38,42,47,52,59,67,78,121,221,290,306,311,314,316
bernie sanders,5,9,14,19,23,27,127,156,166,173,179,188,194,199,203,206,209,212,214,216,218,220,222,224,226,228,230,232
coronavirus usa cases,97,186,286,380,470,559,651,733,809,889,968,1041,1114,1174,1234,1297,1353,1411,1467,1516,1570,1616,1658,1704,1756,1805,1849,1885
canine coronavirus vaccine,3,6,6,9,9,12,15,15,18,18,18,21,24,27,27,27,27,30,33,80,180,248,283,313,337,348,364,456
rob gronkowski,40,51,57,62,68,70,72,75,80,86,88,90,91,93,95,96,97,98,100,200,275,293,303,312,318,322,325,327
joe biden,21,35,55,76,95,115,215,284,326,358,391,434,489,536,574,610,646,678,703,726,754,781,811,857,898,932,979,1024
coronavirus tips,1,83,183,283,307,309,310,311,312,313,314,315,315,315,315,315,315,315,382,473,496,567,660,686,688,689,690,691
oil prices,13,26,32,37,48,57,66,78,87,91,97,109,117,126,134,143,147,151,251,311,335,351,361,366,371,382,392,401
google classroom,89,170,197,221,316,407,490,565,614,634,651,733,824,907,988,1061,1089,1112,1212,1307,1398,1483,1558,1582,1604,1695,1779,1861
cdc coronavirus update,100,194,273,343,412,461,535,578,667,716,765,813,849,906,951,1004,1048,1116,1172,1229,1253,1294,1350,1367,1391,1436,1463,1498
irs stimulus portal,0,0,1,2,3,4,5,7,19,37,47,70,102,202,272,319,353,366,380,393,405,415,425,434,443,451,459,466
