Category: All categories

Week,facebook: (United States)
2015-05-03,87
2015-05-10,89
2015-05-17,89
2015-05-24,91
2015-05-31,90
2015-06-07,92
2015-06-14,92
2015-06-21,90
2015-06-28,88
2015-07-05,87
2015-07-12,85
2015-07-19,85
2015-07-26,86
2015-08-02,87
2015-08-09,88
2015-08-16,88
2015-08-23,85
2015-08-30,84
2015-09-06,80
2015-09-13,80
2015-09-20,82
2015-09-27,84
2015-10-04,82
2015-10-11,81
2015-10-18,84
2015-10-25,80
2015-11-01,82
2015-11-08,83
2015-11-15,80
2015-11-22,83
2015-11-29,78
2015-12-06,77
2015-12-13,78
2015-12-20,87
2015-12-27,91
2016-01-03,97
2016-01-10,95
2016-01-17,99
2016-01-24,96
2016-01-31,94
2016-02-07,94
2016-02-14,96
2016-02-21,95
2016-02-28,93
2016-03-06,93
2016-03-13,95
2016-03-20,96
2016-03-27,99
2016-04-03,93
2016-04-10,95
2016-04-17,93
2016-04-24,92
2016-05-01,92
2016-05-08,96
2016-05-15,96
2016-05-22,98
2016-05-29,100
2016-06-05,95
2016-06-12,95
2016-06-19,95
2016-06-26,93
2016-07-03,96
2016-07-10,93
2016-07-17,94
2016-07-24,94
2016-07-31,91
2016-08-07,90
2016-08-14,88
2016-08-21,88
2016-08-28,85
2016-09-04,81
2016-09-11,83
2016-09-18,81
2016-09-25,82
2016-10-02,82
2016-10-09,82
2016-10-16,81
2016-10-23,81
2016-10-30,80
2016-11-06,82
2016-11-13,78
2016-11-20,79
2016-11-27,76
2016-12-04,78
2016-12-11,78
2016-12-18,81
2016-12-25,82
2017-01-01,82
2017-01-08,79
2017-01-15,77
2017-01-22,81
2017-01-29,76
2017-02-05,75
2017-02-12,78
2017-02-19,77
2017-02-26,73
2017-03-05,76
2017-03-12,75
2017-03-19,75
2017-03-26,76
2017-04-02,72
2017-04-09,76
2017-04-16,80
2017-04-23,75
2017-04-30,75
2017-05-07,75
2017-05-14,77
2017-05-21,77
2017-05-28,76
2017-06-04,76
2017-06-11,81
2017-06-18,79
2017-06-25,79
2017-07-02,79
2017-07-09,77
2017-07-16,77
2017-07-23,77
2017-07-30,78
2017-08-06,76
2017-08-13,78
2017-08-20,75
2017-08-27,73
2017-09-03,72
2017-09-10,72
2017-09-17,70
2017-09-24,71
2017-10-01,69
2017-10-08,68
2017-10-15,67
2017-10-22,66
2017-10-29,67
2017-11-05,62
2017-11-12,63
2017-11-19,65
2017-11-26,61
2017-12-03,61
2017-12-10,61
2017-12-17,64
2017-12-24,68
2017-12-31,65
2018-01-07,61
2018-01-14,62
2018-01-21,59
2018-01-28,59
2018-02-04,58
2018-02-11,61
2018-02-18,59
2018-02-25,58
2018-03-04,58
2018-03-11,57
2018-03-18,61
2018-03-25,61
2018-04-01,59
2018-04-08,59
2018-04-15,56
2018-04-22,56
2018-04-29,55
2018-05-06,55
2018-05-13,56
2018-05-20,55
2018-05-27,56
2018-06-03,55
2018-06-10,57
2018-06-17,58
2018-06-24,57
2018-07-01,57
2018-07-08,58
2018-07-15,55
2018-07-22,59
2018-07-29,58
2018-08-05,56
2018-08-12,56
2018-08-19,55
2018-08-26,56
2018-09-02,54
2018-09-09,53
2018-09-16,53
2018-09-23,52
2018-09-30,52
2018-10-07,54
2018-10-14,52
2018-10-21,51
2018-10-28,53
2018-11-04,50
2018-11-11,51
2018-11-18,53
2018-11-25,48
2018-12-02,48
2018-12-09,48
2018-12-16,50
2018-12-23,53
2018-12-30,52
2019-01-06,47
2019-01-13,48
2019-01-20,48
2019-01-27,47
2019-02-03,46
2019-02-10,47
2019-02-17,46
2019-02-24,46
2019-03-03,46
2019-03-10,51
2019-03-17,47
2019-03-24,45
2019-03-31,47
2019-04-07,45
2019-04-14,46
2019-04-21,46
2019-04-28,45
2019-05-05,46
2019-05-12,48
2019-05-19,48
2019-05-26,50
2019-06-02,49
2019-06-09,47
2019-06-16,49
2019-06-23,49
2019-06-30,51
2019-07-07,48
2019-07-14,48
2019-07-21,49
2019-07-28,49
2019-08-04,49
2019-08-11,48
2019-08-18,47
2019-08-25,44
2019-09-01,43
2019-09-08,44
2019-09-15,42
2019-09-22,43
2019-09-29,42
2019-10-06,43
2019-10-13,44
2019-10-20,43
2019-10-27,43
2019-11-03,43
2019-11-10,42
2019-11-17,42
2019-11-24,43
2019-12-01,39
2019-12-08,40
2019-12-15,42
2019-12-22,46
2019-12-29,44
2020-01-05,41
2020-01-12,41
2020-01-19,41
2020-01-26,40
2020-02-02,40
2020-02-09,40
2020-02-16,41
2020-02-23,39
2020-03-01,38
2020-03-08,41
2020-03-15,46
2020-03-22,48
2020-03-29,46
2020-04-05,46
2020-04-12,43
2020-04-19,42
2020-04-26,42
