Category: All categories

Week,pornhub: (United States)
2015-05-03,54
2015-05-10,54
2015-05-17,55
2015-05-24,56
2015-05-31,56
2015-06-07,58
2015-06-14,57
2015-06-21,60
2015-06-28,60
2015-07-05,59
2015-07-12,60
2015-07-19,60
2015-07-26,60
2015-08-02,59
2015-08-09,60
2015-08-16,59
2015-08-23,55
2015-08-30,58
2015-09-06,57
2015-09-13,55
2015-09-20,53
2015-09-27,52
2015-10-04,54
2015-10-11,52
2015-10-18,54
2015-10-25,53
2015-11-01,54
2015-11-08,52
2015-11-15,55
2015-11-22,57
2015-11-29,54
2015-12-06,53
2015-12-13,53
2015-12-20,58
2015-12-27,60
2016-01-03,56
2016-01-10,55
2016-01-17,56
2016-01-24,55
2016-01-31,54
2016-02-07,54
2016-02-14,57
2016-02-21,56
2016-02-28,55
2016-03-06,56
2016-03-13,57
2016-03-20,58
2016-03-27,62
2016-04-03,58
2016-04-10,57
2016-04-17,56
2016-04-24,56
2016-05-01,57
2016-05-08,59
2016-05-15,60
2016-05-22,60
2016-05-29,63
2016-06-05,59
2016-06-12,62
2016-06-19,62
2016-06-26,63
2016-07-03,65
2016-07-10,62
2016-07-17,64
2016-07-24,64
2016-07-31,63
2016-08-07,64
2016-08-14,64
2016-08-21,61
2016-08-28,60
2016-09-04,59
2016-09-11,58
2016-09-18,58
2016-09-25,58
2016-10-02,59
2016-10-09,59
2016-10-16,59
2016-10-23,57
2016-10-30,57
2016-11-06,55
2016-11-13,58
2016-11-20,60
2016-11-27,57
2016-12-04,56
2016-12-11,56
2016-12-18,60
2016-12-25,62
2017-01-01,59
2017-01-08,56
2017-01-15,59
2017-01-22,56
2017-01-29,55
2017-02-05,57
2017-02-12,58
2017-02-19,56
2017-02-26,56
2017-03-05,55
2017-03-12,59
2017-03-19,60
2017-03-26,60
2017-04-02,59
2017-04-09,62
2017-04-16,61
2017-04-23,60
2017-04-30,61
2017-05-07,62
2017-05-14,64
2017-05-21,64
2017-05-28,66
2017-06-04,66
2017-06-11,66
2017-06-18,67
2017-06-25,70
2017-07-02,71
2017-07-09,68
2017-07-16,68
2017-07-23,69
2017-07-30,66
2017-08-06,66
2017-08-13,65
2017-08-20,63
2017-08-27,63
2017-09-03,62
2017-09-10,60
2017-09-17,62
2017-09-24,63
2017-10-01,61
2017-10-08,61
2017-10-15,62
2017-10-22,64
2017-10-29,69
2017-11-05,67
2017-11-12,68
2017-11-19,78
2017-11-26,72
2017-12-03,72
2017-12-10,72
2017-12-17,80
2017-12-24,84
2017-12-31,77
2018-01-07,76
2018-01-14,75
2018-01-21,73
2018-01-28,71
2018-02-04,72
2018-02-11,73
2018-02-18,76
2018-02-25,73
2018-03-04,73
2018-03-11,74
2018-03-18,73
2018-03-25,77
2018-04-01,75
2018-04-08,71
2018-04-15,73
2018-04-22,73
2018-04-29,73
2018-05-06,74
2018-05-13,75
2018-05-20,75
2018-05-27,79
2018-06-03,77
2018-06-10,77
2018-06-17,79
2018-06-24,77
2018-07-01,78
2018-07-08,78
2018-07-15,78
2018-07-22,78
2018-07-29,78
2018-08-05,78
2018-08-12,78
2018-08-19,77
2018-08-26,75
2018-09-02,75
2018-09-09,71
2018-09-16,73
2018-09-23,73
2018-09-30,72
2018-10-07,72
2018-10-14,73
2018-10-21,72
2018-10-28,74
2018-11-04,72
2018-11-11,74
2018-11-18,76
2018-11-25,72
2018-12-02,74
2018-12-09,74
2018-12-16,77
2018-12-23,85
2018-12-30,82
2019-01-06,75
2019-01-13,73
2019-01-20,74
2019-01-27,75
2019-02-03,71
2019-02-10,76
2019-02-17,75
2019-02-24,73
2019-03-03,74
2019-03-10,77
2019-03-17,78
2019-03-24,78
2019-03-31,76
2019-04-07,78
2019-04-14,82
2019-04-21,80
2019-04-28,77
2019-05-05,80
2019-05-12,84
2019-05-19,88
2019-05-26,89
2019-06-02,89
2019-06-09,87
2019-06-16,92
2019-06-23,92
2019-06-30,89
2019-07-07,92
2019-07-14,90
2019-07-21,89
2019-07-28,90
2019-08-04,92
2019-08-11,89
2019-08-18,88
2019-08-25,84
2019-09-01,84
2019-09-08,83
2019-09-15,82
2019-09-22,85
2019-09-29,83
2019-10-06,86
2019-10-13,84
2019-10-20,84
2019-10-27,86
2019-11-03,84
2019-11-10,84
2019-11-17,86
2019-11-24,89
2019-12-01,86
2019-12-08,88
2019-12-15,92
2019-12-22,100
2019-12-29,95
2020-01-05,87
2020-01-12,84
2020-01-19,87
2020-01-26,86
2020-02-02,88
2020-02-09,87
2020-02-16,87
2020-02-23,83
2020-03-01,83
2020-03-08,86
2020-03-15,86
2020-03-22,93
2020-03-29,88
2020-04-05,90
2020-04-12,86
2020-04-19,85
2020-04-26,85
