Category: All categories

Week,netflix: (United States)
2015-05-03,50
2015-05-10,52
2015-05-17,53
2015-05-24,59
2015-05-31,58
2015-06-07,61
2015-06-14,62
2015-06-21,60
2015-06-28,64
2015-07-05,60
2015-07-12,59
2015-07-19,59
2015-07-26,60
2015-08-02,60
2015-08-09,59
2015-08-16,58
2015-08-23,60
2015-08-30,60
2015-09-06,60
2015-09-13,54
2015-09-20,58
2015-09-27,60
2015-10-04,57
2015-10-11,57
2015-10-18,53
2015-10-25,56
2015-11-01,55
2015-11-08,52
2015-11-15,52
2015-11-22,60
2015-11-29,53
2015-12-06,52
2015-12-13,55
2015-12-20,69
2015-12-27,73
2016-01-03,60
2016-01-10,53
2016-01-17,59
2016-01-24,52
2016-01-31,49
2016-02-07,44
2016-02-14,48
2016-02-21,50
2016-02-28,48
2016-03-06,48
2016-03-13,47
2016-03-20,50
2016-03-27,51
2016-04-03,47
2016-04-10,45
2016-04-17,41
2016-04-24,42
2016-05-01,42
2016-05-08,43
2016-05-15,44
2016-05-22,46
2016-05-29,49
2016-06-05,47
2016-06-12,48
2016-06-19,49
2016-06-26,49
2016-07-03,49
2016-07-10,46
2016-07-17,47
2016-07-24,48
2016-07-31,48
2016-08-07,43
2016-08-14,45
2016-08-21,46
2016-08-28,48
2016-09-04,49
2016-09-11,45
2016-09-18,45
2016-09-25,49
2016-10-02,48
2016-10-09,45
2016-10-16,45
2016-10-23,44
2016-10-30,44
2016-11-06,41
2016-11-13,42
2016-11-20,53
2016-11-27,47
2016-12-04,45
2016-12-11,48
2016-12-18,55
2016-12-25,61
2017-01-01,60
2017-01-08,52
2017-01-15,53
2017-01-22,48
2017-01-29,47
2017-02-05,46
2017-02-12,45
2017-02-19,45
2017-02-26,45
2017-03-05,42
2017-03-12,47
2017-03-19,48
2017-03-26,49
2017-04-02,48
2017-04-09,46
2017-04-16,46
2017-04-23,44
2017-04-30,45
2017-05-07,43
2017-05-14,44
2017-05-21,46
2017-05-28,50
2017-06-04,45
2017-06-11,46
2017-06-18,47
2017-06-25,50
2017-07-02,51
2017-07-09,48
2017-07-16,49
2017-07-23,49
2017-07-30,50
2017-08-06,48
2017-08-13,47
2017-08-20,46
2017-08-27,47
2017-09-03,47
2017-09-10,44
2017-09-17,45
2017-09-24,44
2017-10-01,45
2017-10-08,48
2017-10-15,46
2017-10-22,48
2017-10-29,48
2017-11-05,46
2017-11-12,47
2017-11-19,56
2017-11-26,48
2017-12-03,51
2017-12-10,50
2017-12-17,58
2017-12-24,70
2017-12-31,67
2018-01-07,55
2018-01-14,57
2018-01-21,53
2018-01-28,51
2018-02-04,49
2018-02-11,49
2018-02-18,50
2018-02-25,51
2018-03-04,52
2018-03-11,51
2018-03-18,50
2018-03-25,52
2018-04-01,53
2018-04-08,48
2018-04-15,49
2018-04-22,47
2018-04-29,45
2018-05-06,45
2018-05-13,51
2018-05-20,53
2018-05-27,54
2018-06-03,50
2018-06-10,54
2018-06-17,49
2018-06-24,49
2018-07-01,52
2018-07-08,47
2018-07-15,50
2018-07-22,52
2018-07-29,52
2018-08-05,48
2018-08-12,51
2018-08-19,50
2018-08-26,50
2018-09-02,50
2018-09-09,46
2018-09-16,48
2018-09-23,47
2018-09-30,45
2018-10-07,48
2018-10-14,49
2018-10-21,50
2018-10-28,53
2018-11-04,45
2018-11-11,47
2018-11-18,52
2018-11-25,47
2018-12-02,50
2018-12-09,50
2018-12-16,55
2018-12-23,100
2018-12-30,86
2019-01-06,66
2019-01-13,71
2019-01-20,68
2019-01-27,63
2019-02-03,52
2019-02-10,53
2019-02-17,54
2019-02-24,50
2019-03-03,50
2019-03-10,49
2019-03-17,49
2019-03-24,48
2019-03-31,49
2019-04-07,48
2019-04-14,49
2019-04-21,47
2019-04-28,49
2019-05-05,48
2019-05-12,49
2019-05-19,51
2019-05-26,57
2019-06-02,53
2019-06-09,51
2019-06-16,53
2019-06-23,54
2019-06-30,55
2019-07-07,52
2019-07-14,55
2019-07-21,53
2019-07-28,52
2019-08-04,49
2019-08-11,49
2019-08-18,49
2019-08-25,51
2019-09-01,49
2019-09-08,45
2019-09-15,48
2019-09-22,46
2019-09-29,47
2019-10-06,50
2019-10-13,47
2019-10-20,49
2019-10-27,50
2019-11-03,51
2019-11-10,50
2019-11-17,46
2019-11-24,54
2019-12-01,46
2019-12-08,46
2019-12-15,54
2019-12-22,71
2019-12-29,81
2020-01-05,63
2020-01-12,58
2020-01-19,61
2020-01-26,52
2020-02-02,52
2020-02-09,53
2020-02-16,52
2020-02-23,50
2020-03-01,49
2020-03-08,52
2020-03-15,83
2020-03-22,90
2020-03-29,89
2020-04-05,80
2020-04-12,75
2020-04-19,85
2020-04-26,78
