Category: All categories

Week,fox news: (United States)
2015-05-03,24
2015-05-10,26
2015-05-17,24
2015-05-24,23
2015-05-31,24
2015-06-07,23
2015-06-14,26
2015-06-21,28
2015-06-28,26
2015-07-05,26
2015-07-12,27
2015-07-19,27
2015-07-26,27
2015-08-02,42
2015-08-09,27
2015-08-16,26
2015-08-23,30
2015-08-30,26
2015-09-06,23
2015-09-13,26
2015-09-20,28
2015-09-27,27
2015-10-04,24
2015-10-11,24
2015-10-18,25
2015-10-25,25
2015-11-01,23
2015-11-08,32
2015-11-15,32
2015-11-22,26
2015-11-29,32
2015-12-06,27
2015-12-13,24
2015-12-20,24
2015-12-27,23
2016-01-03,20
2016-01-10,23
2016-01-17,24
2016-01-24,33
2016-01-31,24
2016-02-07,24
2016-02-14,21
2016-02-21,24
2016-02-28,32
2016-03-06,26
2016-03-13,27
2016-03-20,24
2016-03-27,23
2016-04-03,21
2016-04-10,19
2016-04-17,20
2016-04-24,22
2016-05-01,23
2016-05-08,21
2016-05-15,22
2016-05-22,21
2016-05-29,21
2016-06-05,22
2016-06-12,29
2016-06-19,25
2016-06-26,24
2016-07-03,34
2016-07-10,32
2016-07-17,38
2016-07-24,33
2016-07-31,27
2016-08-07,25
2016-08-14,25
2016-08-21,24
2016-08-28,24
2016-09-04,25
2016-09-11,26
2016-09-18,30
2016-09-25,33
2016-10-02,33
2016-10-09,35
2016-10-16,32
2016-10-23,33
2016-10-30,43
2016-11-06,100
2016-11-13,34
2016-11-20,29
2016-11-27,29
2016-12-04,26
2016-12-11,28
2016-12-18,29
2016-12-25,28
2017-01-01,32
2017-01-08,31
2017-01-15,43
2017-01-22,38
2017-01-29,38
2017-02-05,34
2017-02-12,33
2017-02-19,31
2017-02-26,30
2017-03-05,28
2017-03-12,26
2017-03-19,32
2017-03-26,28
2017-04-02,34
2017-04-09,33
2017-04-16,35
2017-04-23,32
2017-04-30,30
2017-05-07,30
2017-05-14,35
2017-05-21,34
2017-05-28,31
2017-06-04,36
2017-06-11,35
2017-06-18,32
2017-06-25,30
2017-07-02,28
2017-07-09,30
2017-07-16,28
2017-07-23,31
2017-07-30,32
2017-08-06,35
2017-08-13,40
2017-08-20,35
2017-08-27,34
2017-09-03,35
2017-09-10,37
2017-09-17,32
2017-09-24,34
2017-10-01,43
2017-10-08,32
2017-10-15,31
2017-10-22,32
2017-10-29,39
2017-11-05,35
2017-11-12,32
2017-11-19,28
2017-11-26,33
2017-12-03,36
2017-12-10,40
2017-12-17,35
2017-12-24,32
2017-12-31,34
2018-01-07,36
2018-01-14,38
2018-01-21,39
2018-01-28,41
2018-02-04,36
2018-02-11,38
2018-02-18,35
2018-02-25,31
2018-03-04,31
2018-03-11,33
2018-03-18,35
2018-03-25,32
2018-04-01,33
2018-04-08,37
2018-04-15,35
2018-04-22,34
2018-04-29,32
2018-05-06,34
2018-05-13,36
2018-05-20,34
2018-05-27,32
2018-06-03,33
2018-06-10,40
2018-06-17,38
2018-06-24,36
2018-07-01,33
2018-07-08,38
2018-07-15,40
2018-07-22,36
2018-07-29,34
2018-08-05,35
2018-08-12,37
2018-08-19,39
2018-08-26,37
2018-09-02,36
2018-09-09,34
2018-09-16,35
2018-09-23,52
2018-09-30,48
2018-10-07,39
2018-10-14,34
2018-10-21,40
2018-10-28,37
2018-11-04,54
2018-11-11,34
2018-11-18,28
2018-11-25,31
2018-12-02,32
2018-12-09,34
2018-12-16,33
2018-12-23,29
2018-12-30,31
2019-01-06,35
2019-01-13,35
2019-01-20,38
2019-01-27,34
2019-02-03,32
2019-02-10,34
2019-02-17,32
2019-02-24,32
2019-03-03,31
2019-03-10,31
2019-03-17,34
2019-03-24,34
2019-03-31,31
2019-04-07,30
2019-04-14,36
2019-04-21,31
2019-04-28,30
2019-05-05,30
2019-05-12,30
2019-05-19,32
2019-05-26,31
2019-06-02,30
2019-06-09,29
2019-06-16,31
2019-06-23,31
2019-06-30,33
2019-07-07,33
2019-07-14,35
2019-07-21,37
2019-07-28,35
2019-08-04,37
2019-08-11,36
2019-08-18,33
2019-08-25,32
2019-09-01,31
2019-09-08,30
2019-09-15,31
2019-09-22,41
2019-09-29,38
2019-10-06,37
2019-10-13,36
2019-10-20,33
2019-10-27,37
2019-11-03,35
2019-11-10,37
2019-11-17,40
2019-11-24,32
2019-12-01,33
2019-12-08,38
2019-12-15,42
2019-12-22,33
2019-12-29,39
2020-01-05,50
2020-01-12,37
2020-01-19,41
2020-01-26,48
2020-02-02,51
2020-02-09,40
2020-02-16,37
2020-02-23,39
2020-03-01,43
2020-03-08,57
2020-03-15,74
2020-03-22,68
2020-03-29,56
2020-04-05,48
2020-04-12,46
2020-04-19,43
2020-04-26,40
