Category: All categories

Week,weather: (United States)
2015-05-03,41
2015-05-10,48
2015-05-17,44
2015-05-24,50
2015-05-31,41
2015-06-07,43
2015-06-14,46
2015-06-21,46
2015-06-28,45
2015-07-05,38
2015-07-12,40
2015-07-19,35
2015-07-26,33
2015-08-02,33
2015-08-09,33
2015-08-16,37
2015-08-23,34
2015-08-30,33
2015-09-06,40
2015-09-13,36
2015-09-20,33
2015-09-27,47
2015-10-04,38
2015-10-11,34
2015-10-18,38
2015-10-25,38
2015-11-01,37
2015-11-08,35
2015-11-15,40
2015-11-22,37
2015-11-29,31
2015-12-06,29
2015-12-13,37
2015-12-20,47
2015-12-27,50
2016-01-03,47
2016-01-10,47
2016-01-17,77
2016-01-24,40
2016-01-31,46
2016-02-07,48
2016-02-14,46
2016-02-21,43
2016-02-28,41
2016-03-06,48
2016-03-13,46
2016-03-20,48
2016-03-27,49
2016-04-03,46
2016-04-10,45
2016-04-17,45
2016-04-24,52
2016-05-01,47
2016-05-08,48
2016-05-15,50
2016-05-22,52
2016-05-29,53
2016-06-05,49
2016-06-12,44
2016-06-19,43
2016-06-26,43
2016-07-03,46
2016-07-10,40
2016-07-17,41
2016-07-24,45
2016-07-31,39
2016-08-07,38
2016-08-14,40
2016-08-21,37
2016-08-28,47
2016-09-04,37
2016-09-11,35
2016-09-18,36
2016-09-25,42
2016-10-02,54
2016-10-09,39
2016-10-16,38
2016-10-23,38
2016-10-30,34
2016-11-06,28
2016-11-13,36
2016-11-20,39
2016-11-27,39
2016-12-04,51
2016-12-11,62
2016-12-18,49
2016-12-25,47
2017-01-01,71
2017-01-08,63
2017-01-15,52
2017-01-22,48
2017-01-29,40
2017-02-05,57
2017-02-12,49
2017-02-19,51
2017-02-26,49
2017-03-05,54
2017-03-12,66
2017-03-19,51
2017-03-26,54
2017-04-02,60
2017-04-09,45
2017-04-16,50
2017-04-23,54
2017-04-30,55
2017-05-07,44
2017-05-14,50
2017-05-21,56
2017-05-28,56
2017-06-04,52
2017-06-11,57
2017-06-18,68
2017-06-25,56
2017-07-02,53
2017-07-09,50
2017-07-16,48
2017-07-23,50
2017-07-30,51
2017-08-06,49
2017-08-13,43
2017-08-20,51
2017-08-27,62
2017-09-03,68
2017-09-10,52
2017-09-17,44
2017-09-24,42
2017-10-01,47
2017-10-08,52
2017-10-15,47
2017-10-22,57
2017-10-29,59
2017-11-05,55
2017-11-12,53
2017-11-19,49
2017-11-26,42
2017-12-03,64
2017-12-10,58
2017-12-17,60
2017-12-24,76
2017-12-31,93
2018-01-07,81
2018-01-14,85
2018-01-21,57
2018-01-28,57
2018-02-04,71
2018-02-11,64
2018-02-18,78
2018-02-25,75
2018-03-04,68
2018-03-11,72
2018-03-18,89
2018-03-25,62
2018-04-01,76
2018-04-08,73
2018-04-15,72
2018-04-22,62
2018-04-29,68
2018-05-06,59
2018-05-13,73
2018-05-20,73
2018-05-27,73
2018-06-03,60
2018-06-10,62
2018-06-17,69
2018-06-24,60
2018-07-01,70
2018-07-08,54
2018-07-15,64
2018-07-22,66
2018-07-29,61
2018-08-05,61
2018-08-12,59
2018-08-19,56
2018-08-26,58
2018-09-02,63
2018-09-09,77
2018-09-16,58
2018-09-23,57
2018-09-30,58
2018-10-07,75
2018-10-14,59
2018-10-21,51
2018-10-28,53
2018-11-04,52
2018-11-11,66
2018-11-18,52
2018-11-25,64
2018-12-02,62
2018-12-09,56
2018-12-16,48
2018-12-23,58
2018-12-30,58
2019-01-06,65
2019-01-13,85
2019-01-20,77
2019-01-27,100
2019-02-03,80
2019-02-10,87
2019-02-17,84
2019-02-24,76
2019-03-03,79
2019-03-10,65
2019-03-17,51
2019-03-24,50
2019-03-31,56
2019-04-07,64
2019-04-14,68
2019-04-21,55
2019-04-28,60
2019-05-05,64
2019-05-12,60
2019-05-19,71
2019-05-26,65
2019-06-02,57
2019-06-09,60
2019-06-16,63
2019-06-23,56
2019-06-30,59
2019-07-07,53
2019-07-14,54
2019-07-21,49
2019-07-28,45
2019-08-04,43
2019-08-11,45
2019-08-18,47
2019-08-25,52
2019-09-01,53
2019-09-08,43
2019-09-15,41
2019-09-22,43
2019-09-29,49
2019-10-06,63
2019-10-13,59
2019-10-20,63
2019-10-27,69
2019-11-03,56
2019-11-10,66
2019-11-17,58
2019-11-24,75
2019-12-01,65
2019-12-08,61
2019-12-15,63
2019-12-22,61
2019-12-29,58
2020-01-05,67
2020-01-12,74
2020-01-19,60
2020-01-26,47
2020-02-02,69
2020-02-09,63
2020-02-16,57
2020-02-23,57
2020-03-01,55
2020-03-08,60
2020-03-15,51
2020-03-22,46
2020-03-29,44
2020-04-05,51
2020-04-12,51
2020-04-19,51
2020-04-26,51
