Category: All categories

Week,home depot: (United States)
2015-05-03,51
2015-05-10,50
2015-05-17,51
2015-05-24,56
2015-05-31,50
2015-06-07,50
2015-06-14,51
2015-06-21,51
2015-06-28,59
2015-07-05,51
2015-07-12,48
2015-07-19,49
2015-07-26,49
2015-08-02,46
2015-08-09,46
2015-08-16,45
2015-08-23,44
2015-08-30,47
2015-09-06,47
2015-09-13,41
2015-09-20,40
2015-09-27,41
2015-10-04,42
2015-10-11,42
2015-10-18,40
2015-10-25,39
2015-11-01,42
2015-11-08,43
2015-11-15,44
2015-11-22,62
2015-11-29,49
2015-12-06,44
2015-12-13,41
2015-12-20,44
2015-12-27,49
2016-01-03,37
2016-01-10,34
2016-01-17,39
2016-01-24,36
2016-01-31,37
2016-02-07,35
2016-02-14,38
2016-02-21,39
2016-02-28,39
2016-03-06,42
2016-03-13,44
2016-03-20,43
2016-03-27,45
2016-04-03,46
2016-04-10,47
2016-04-17,48
2016-04-24,48
2016-05-01,47
2016-05-08,48
2016-05-15,50
2016-05-22,55
2016-05-29,59
2016-06-05,51
2016-06-12,51
2016-06-19,52
2016-06-26,52
2016-07-03,54
2016-07-10,48
2016-07-17,47
2016-07-24,47
2016-07-31,45
2016-08-07,42
2016-08-14,42
2016-08-21,43
2016-08-28,45
2016-09-04,46
2016-09-11,40
2016-09-18,39
2016-09-25,39
2016-10-02,41
2016-10-09,40
2016-10-16,39
2016-10-23,38
2016-10-30,39
2016-11-06,39
2016-11-13,45
2016-11-20,64
2016-11-27,50
2016-12-04,44
2016-12-11,40
2016-12-18,43
2016-12-25,46
2017-01-01,44
2017-01-08,37
2017-01-15,38
2017-01-22,37
2017-01-29,38
2017-02-05,35
2017-02-12,37
2017-02-19,42
2017-02-26,42
2017-03-05,43
2017-03-12,43
2017-03-19,44
2017-03-26,50
2017-04-02,49
2017-04-09,52
2017-04-16,51
2017-04-23,50
2017-04-30,50
2017-05-07,50
2017-05-14,52
2017-05-21,56
2017-05-28,61
2017-06-04,54
2017-06-11,55
2017-06-18,54
2017-06-25,56
2017-07-02,62
2017-07-09,50
2017-07-16,49
2017-07-23,51
2017-07-30,50
2017-08-06,48
2017-08-13,49
2017-08-20,47
2017-08-27,48
2017-09-03,54
2017-09-10,45
2017-09-17,43
2017-09-24,43
2017-10-01,43
2017-10-08,43
2017-10-15,43
2017-10-22,43
2017-10-29,45
2017-11-05,46
2017-11-12,48
2017-11-19,71
2017-11-26,53
2017-12-03,46
2017-12-10,44
2017-12-17,44
2017-12-24,50
2017-12-31,49
2018-01-07,42
2018-01-14,42
2018-01-21,40
2018-01-28,40
2018-02-04,38
2018-02-11,39
2018-02-18,43
2018-02-25,45
2018-03-04,46
2018-03-11,45
2018-03-18,46
2018-03-25,48
2018-04-01,51
2018-04-08,51
2018-04-15,51
2018-04-22,54
2018-04-29,55
2018-05-06,57
2018-05-13,55
2018-05-20,63
2018-05-27,66
2018-06-03,57
2018-06-10,57
2018-06-17,55
2018-06-24,57
2018-07-01,63
2018-07-08,56
2018-07-15,53
2018-07-22,53
2018-07-29,53
2018-08-05,53
2018-08-12,51
2018-08-19,49
2018-08-26,51
2018-09-02,51
2018-09-09,44
2018-09-16,44
2018-09-23,43
2018-09-30,44
2018-10-07,44
2018-10-14,43
2018-10-21,42
2018-10-28,44
2018-11-04,45
2018-11-11,50
2018-11-18,71
2018-11-25,53
2018-12-02,48
2018-12-09,43
2018-12-16,43
2018-12-23,48
2018-12-30,49
2019-01-06,41
2019-01-13,42
2019-01-20,42
2019-01-27,43
2019-02-03,41
2019-02-10,41
2019-02-17,45
2019-02-24,44
2019-03-03,44
2019-03-10,50
2019-03-17,51
2019-03-24,53
2019-03-31,55
2019-04-07,58
2019-04-14,56
2019-04-21,60
2019-04-28,57
2019-05-05,57
2019-05-12,59
2019-05-19,67
2019-05-26,71
2019-06-02,61
2019-06-09,62
2019-06-16,60
2019-06-23,64
2019-06-30,71
2019-07-07,61
2019-07-14,58
2019-07-21,57
2019-07-28,56
2019-08-04,53
2019-08-11,53
2019-08-18,53
2019-08-25,54
2019-09-01,56
2019-09-08,50
2019-09-15,49
2019-09-22,48
2019-09-29,48
2019-10-06,48
2019-10-13,47
2019-10-20,48
2019-10-27,47
2019-11-03,52
2019-11-10,52
2019-11-17,54
2019-11-24,76
2019-12-01,57
2019-12-08,50
2019-12-15,46
2019-12-22,52
2019-12-29,54
2020-01-05,42
2020-01-12,42
2020-01-19,44
2020-01-26,42
2020-02-02,42
2020-02-09,44
2020-02-16,46
2020-02-23,48
2020-03-01,48
2020-03-08,52
2020-03-15,63
2020-03-22,69
2020-03-29,74
2020-04-05,78
2020-04-12,87
2020-04-19,91
2020-04-26,100
