Category: All categories

Week,amazon: (United States)
2015-05-03,48
2015-05-10,49
2015-05-17,48
2015-05-24,50
2015-05-31,51
2015-06-07,52
2015-06-14,52
2015-06-21,52
2015-06-28,53
2015-07-05,57
2015-07-12,74
2015-07-19,56
2015-07-26,55
2015-08-02,56
2015-08-09,58
2015-08-16,60
2015-08-23,58
2015-08-30,58
2015-09-06,54
2015-09-13,54
2015-09-20,56
2015-09-27,55
2015-10-04,55
2015-10-11,56
2015-10-18,56
2015-10-25,55
2015-11-01,57
2015-11-08,58
2015-11-15,63
2015-11-22,85
2015-11-29,88
2015-12-06,79
2015-12-13,84
2015-12-20,79
2015-12-27,69
2016-01-03,53
2016-01-10,48
2016-01-17,51
2016-01-24,49
2016-01-31,49
2016-02-07,47
2016-02-14,47
2016-02-21,47
2016-02-28,46
2016-03-06,48
2016-03-13,46
2016-03-20,47
2016-03-27,47
2016-04-03,47
2016-04-10,45
2016-04-17,46
2016-04-24,47
2016-05-01,47
2016-05-08,48
2016-05-15,48
2016-05-22,47
2016-05-29,49
2016-06-05,48
2016-06-12,49
2016-06-19,49
2016-06-26,49
2016-07-03,50
2016-07-10,61
2016-07-17,51
2016-07-24,51
2016-07-31,51
2016-08-07,49
2016-08-14,52
2016-08-21,54
2016-08-28,52
2016-09-04,51
2016-09-11,50
2016-09-18,48
2016-09-25,48
2016-10-02,48
2016-10-09,48
2016-10-16,50
2016-10-23,52
2016-10-30,48
2016-11-06,48
2016-11-13,56
2016-11-20,76
2016-11-27,80
2016-12-04,74
2016-12-11,78
2016-12-18,76
2016-12-25,70
2017-01-01,61
2017-01-08,58
2017-01-15,56
2017-01-22,53
2017-01-29,52
2017-02-05,50
2017-02-12,50
2017-02-19,52
2017-02-26,53
2017-03-05,54
2017-03-12,53
2017-03-19,51
2017-03-26,53
2017-04-02,52
2017-04-09,52
2017-04-16,51
2017-04-23,56
2017-04-30,57
2017-05-07,57
2017-05-14,54
2017-05-21,54
2017-05-28,55
2017-06-04,56
2017-06-11,59
2017-06-18,58
2017-06-25,58
2017-07-02,58
2017-07-09,76
2017-07-16,60
2017-07-23,60
2017-07-30,62
2017-08-06,62
2017-08-13,62
2017-08-20,60
2017-08-27,61
2017-09-03,58
2017-09-10,57
2017-09-17,58
2017-09-24,57
2017-10-01,58
2017-10-08,59
2017-10-15,62
2017-10-22,62
2017-10-29,60
2017-11-05,63
2017-11-12,69
2017-11-19,87
2017-11-26,92
2017-12-03,83
2017-12-10,87
2017-12-17,86
2017-12-24,80
2017-12-31,69
2018-01-07,65
2018-01-14,65
2018-01-21,62
2018-01-28,62
2018-02-04,60
2018-02-11,56
2018-02-18,60
2018-02-25,61
2018-03-04,60
2018-03-11,60
2018-03-18,60
2018-03-25,58
2018-04-01,59
2018-04-08,56
2018-04-15,57
2018-04-22,58
2018-04-29,57
2018-05-06,58
2018-05-13,56
2018-05-20,57
2018-05-27,58
2018-06-03,59
2018-06-10,61
2018-06-17,58
2018-06-24,61
2018-07-01,61
2018-07-08,64
2018-07-15,85
2018-07-22,63
2018-07-29,63
2018-08-05,63
2018-08-12,63
2018-08-19,63
2018-08-26,62
2018-09-02,61
2018-09-09,58
2018-09-16,59
2018-09-23,56
2018-09-30,60
2018-10-07,60
2018-10-14,60
2018-10-21,59
2018-10-28,60
2018-11-04,62
2018-11-11,69
2018-11-18,83
2018-11-25,87
2018-12-02,81
2018-12-09,86
2018-12-16,87
2018-12-23,75
2018-12-30,66
2019-01-06,63
2019-01-13,62
2019-01-20,60
2019-01-27,59
2019-02-03,58
2019-02-10,60
2019-02-17,59
2019-02-24,60
2019-03-03,61
2019-03-10,59
2019-03-17,59
2019-03-24,58
2019-03-31,59
2019-04-07,59
2019-04-14,61
2019-04-21,60
2019-04-28,60
2019-05-05,61
2019-05-12,62
2019-05-19,63
2019-05-26,65
2019-06-02,66
2019-06-09,67
2019-06-16,66
2019-06-23,65
2019-06-30,64
2019-07-07,68
2019-07-14,91
2019-07-21,67
2019-07-28,65
2019-08-04,65
2019-08-11,68
2019-08-18,80
2019-08-25,71
2019-09-01,64
2019-09-08,64
2019-09-15,64
2019-09-22,64
2019-09-29,66
2019-10-06,65
2019-10-13,66
2019-10-20,71
2019-10-27,68
2019-11-03,72
2019-11-10,74
2019-11-17,79
2019-11-24,94
2019-12-01,100
2019-12-08,94
2019-12-15,96
2019-12-22,83
2019-12-29,75
2020-01-05,68
2020-01-12,67
2020-01-19,67
2020-01-26,67
2020-02-02,66
2020-02-09,66
2020-02-16,66
2020-02-23,70
2020-03-01,72
2020-03-08,72
2020-03-15,86
2020-03-22,82
2020-03-29,85
2020-04-05,89
2020-04-12,87
2020-04-19,89
2020-04-26,90
