Category: All categories

Week,gmail: (United States)
2015-05-03,94
2015-05-10,93
2015-05-17,92
2015-05-24,87
2015-05-31,89
2015-06-07,86
2015-06-14,83
2015-06-21,81
2015-06-28,79
2015-07-05,80
2015-07-12,78
2015-07-19,82
2015-07-26,82
2015-08-02,83
2015-08-09,85
2015-08-16,98
2015-08-23,97
2015-08-30,97
2015-09-06,92
2015-09-13,96
2015-09-20,96
2015-09-27,96
2015-10-04,96
2015-10-11,90
2015-10-18,92
2015-10-25,92
2015-11-01,95
2015-11-08,91
2015-11-15,94
2015-11-22,79
2015-11-29,100
2015-12-06,98
2015-12-13,94
2015-12-20,77
2015-12-27,70
2016-01-03,84
2016-01-10,84
2016-01-17,81
2016-01-24,88
2016-01-31,89
2016-02-07,85
2016-02-14,82
2016-02-21,87
2016-02-28,85
2016-03-06,83
2016-03-13,79
2016-03-20,77
2016-03-27,81
2016-04-03,81
2016-04-10,80
2016-04-17,78
2016-04-24,76
2016-05-01,80
2016-05-08,79
2016-05-15,79
2016-05-22,75
2016-05-29,71
2016-06-05,72
2016-06-12,69
2016-06-19,67
2016-06-26,67
2016-07-03,63
2016-07-10,66
2016-07-17,65
2016-07-24,66
2016-07-31,67
2016-08-07,68
2016-08-14,71
2016-08-21,77
2016-08-28,80
2016-09-04,74
2016-09-11,78
2016-09-18,77
2016-09-25,76
2016-10-02,72
2016-10-09,70
2016-10-16,71
2016-10-23,73
2016-10-30,72
2016-11-06,64
2016-11-13,70
2016-11-20,56
2016-11-27,73
2016-12-04,71
2016-12-11,73
2016-12-18,62
2016-12-25,55
2017-01-01,65
2017-01-08,70
2017-01-15,69
2017-01-22,71
2017-01-29,72
2017-02-05,72
2017-02-12,70
2017-02-19,70
2017-02-26,71
2017-03-05,72
2017-03-12,70
2017-03-19,72
2017-03-26,71
2017-04-02,72
2017-04-09,68
2017-04-16,72
2017-04-23,77
2017-04-30,77
2017-05-07,73
2017-05-14,68
2017-05-21,64
2017-05-28,60
2017-06-04,62
2017-06-11,60
2017-06-18,58
2017-06-25,55
2017-07-02,49
2017-07-09,53
2017-07-16,51
2017-07-23,54
2017-07-30,56
2017-08-06,57
2017-08-13,60
2017-08-20,63
2017-08-27,65
2017-09-03,60
2017-09-10,64
2017-09-17,66
2017-09-24,67
2017-10-01,65
2017-10-08,63
2017-10-15,66
2017-10-22,65
2017-10-29,66
2017-11-05,63
2017-11-12,66
2017-11-19,52
2017-11-26,65
2017-12-03,67
2017-12-10,65
2017-12-17,60
2017-12-24,48
2017-12-31,53
2018-01-07,60
2018-01-14,58
2018-01-21,62
2018-01-28,63
2018-02-04,63
2018-02-11,63
2018-02-18,60
2018-02-25,64
2018-03-04,62
2018-03-11,63
2018-03-18,61
2018-03-25,58
2018-04-01,58
2018-04-08,62
2018-04-15,61
2018-04-22,62
2018-04-29,61
2018-05-06,60
2018-05-13,58
2018-05-20,57
2018-05-27,52
2018-06-03,53
2018-06-10,52
2018-06-17,51
2018-06-24,49
2018-07-01,44
2018-07-08,49
2018-07-15,44
2018-07-22,49
2018-07-29,52
2018-08-05,51
2018-08-12,52
2018-08-19,57
2018-08-26,61
2018-09-02,58
2018-09-09,61
2018-09-16,63
2018-09-23,62
2018-09-30,60
2018-10-07,57
2018-10-14,59
2018-10-21,58
2018-10-28,59
2018-11-04,54
2018-11-11,59
2018-11-18,46
2018-11-25,61
2018-12-02,60
2018-12-09,59
2018-12-16,55
2018-12-23,41
2018-12-30,45
2019-01-06,57
2019-01-13,57
2019-01-20,55
2019-01-27,58
2019-02-03,57
2019-02-10,58
2019-02-17,55
2019-02-24,56
2019-03-03,53
2019-03-10,54
2019-03-17,55
2019-03-24,53
2019-03-31,54
2019-04-07,52
2019-04-14,52
2019-04-21,52
2019-04-28,54
2019-05-05,56
2019-05-12,56
2019-05-19,55
2019-05-26,52
2019-06-02,57
2019-06-09,51
2019-06-16,50
2019-06-23,48
2019-06-30,42
2019-07-07,48
2019-07-14,47
2019-07-21,47
2019-07-28,49
2019-08-04,50
2019-08-11,52
2019-08-18,57
2019-08-25,59
2019-09-01,56
2019-09-08,62
2019-09-15,59
2019-09-22,62
2019-09-29,62
2019-10-06,62
2019-10-13,59
2019-10-20,61
2019-10-27,59
2019-11-03,59
2019-11-10,58
2019-11-17,59
2019-11-24,43
2019-12-01,57
2019-12-08,60
2019-12-15,57
2019-12-22,41
2019-12-29,44
2020-01-05,56
2020-01-12,55
2020-01-19,52
2020-01-26,55
2020-02-02,56
2020-02-09,58
2020-02-16,58
2020-02-23,60
2020-03-01,59
2020-03-08,60
2020-03-15,68
2020-03-22,72
2020-03-29,80
2020-04-05,76
2020-04-12,76
2020-04-19,77
2020-04-26,75
