Category: All categories

Week,ebay: (United States)
2015-05-03,89
2015-05-10,94
2015-05-17,91
2015-05-24,94
2015-05-31,94
2015-06-07,93
2015-06-14,95
2015-06-21,95
2015-06-28,97
2015-07-05,97
2015-07-12,97
2015-07-19,99
2015-07-26,99
2015-08-02,98
2015-08-09,98
2015-08-16,98
2015-08-23,94
2015-08-30,91
2015-09-06,89
2015-09-13,89
2015-09-20,90
2015-09-27,91
2015-10-04,91
2015-10-11,90
2015-10-18,88
2015-10-25,87
2015-11-01,89
2015-11-08,90
2015-11-15,89
2015-11-22,100
2015-11-29,100
2015-12-06,96
2015-12-13,95
2015-12-20,93
2015-12-27,94
2016-01-03,80
2016-01-10,76
2016-01-17,78
2016-01-24,78
2016-01-31,78
2016-02-07,79
2016-02-14,80
2016-02-21,82
2016-02-28,81
2016-03-06,78
2016-03-13,79
2016-03-20,78
2016-03-27,80
2016-04-03,77
2016-04-10,76
2016-04-17,73
2016-04-24,73
2016-05-01,73
2016-05-08,76
2016-05-15,76
2016-05-22,74
2016-05-29,75
2016-06-05,78
2016-06-12,75
2016-06-19,77
2016-06-26,77
2016-07-03,76
2016-07-10,76
2016-07-17,76
2016-07-24,77
2016-07-31,77
2016-08-07,73
2016-08-14,72
2016-08-21,75
2016-08-28,72
2016-09-04,72
2016-09-11,69
2016-09-18,71
2016-09-25,70
2016-10-02,68
2016-10-09,68
2016-10-16,69
2016-10-23,68
2016-10-30,65
2016-11-06,64
2016-11-13,69
2016-11-20,77
2016-11-27,80
2016-12-04,80
2016-12-11,79
2016-12-18,73
2016-12-25,75
2017-01-01,73
2017-01-08,68
2017-01-15,71
2017-01-22,69
2017-01-29,70
2017-02-05,69
2017-02-12,68
2017-02-19,72
2017-02-26,72
2017-03-05,73
2017-03-12,73
2017-03-19,72
2017-03-26,73
2017-04-02,69
2017-04-09,71
2017-04-16,71
2017-04-23,73
2017-04-30,73
2017-05-07,72
2017-05-14,71
2017-05-21,73
2017-05-28,73
2017-06-04,73
2017-06-11,71
2017-06-18,71
2017-06-25,72
2017-07-02,71
2017-07-09,72
2017-07-16,74
2017-07-23,75
2017-07-30,76
2017-08-06,74
2017-08-13,72
2017-08-20,69
2017-08-27,70
2017-09-03,68
2017-09-10,66
2017-09-17,65
2017-09-24,66
2017-10-01,67
2017-10-08,68
2017-10-15,68
2017-10-22,67
2017-10-29,65
2017-11-05,68
2017-11-12,71
2017-11-19,75
2017-11-26,76
2017-12-03,75
2017-12-10,76
2017-12-17,68
2017-12-24,70
2017-12-31,66
2018-01-07,63
2018-01-14,64
2018-01-21,62
2018-01-28,63
2018-02-04,62
2018-02-11,62
2018-02-18,65
2018-02-25,66
2018-03-04,67
2018-03-11,64
2018-03-18,65
2018-03-25,63
2018-04-01,64
2018-04-08,63
2018-04-15,61
2018-04-22,62
2018-04-29,58
2018-05-06,59
2018-05-13,58
2018-05-20,59
2018-05-27,59
2018-06-03,61
2018-06-10,61
2018-06-17,60
2018-06-24,61
2018-07-01,61
2018-07-08,61
2018-07-15,60
2018-07-22,61
2018-07-29,59
2018-08-05,59
2018-08-12,59
2018-08-19,56
2018-08-26,56
2018-09-02,56
2018-09-09,54
2018-09-16,55
2018-09-23,55
2018-09-30,54
2018-10-07,54
2018-10-14,54
2018-10-21,54
2018-10-28,53
2018-11-04,52
2018-11-11,54
2018-11-18,61
2018-11-25,62
2018-12-02,62
2018-12-09,60
2018-12-16,58
2018-12-23,56
2018-12-30,56
2019-01-06,54
2019-01-13,53
2019-01-20,53
2019-01-27,53
2019-02-03,51
2019-02-10,52
2019-02-17,53
2019-02-24,53
2019-03-03,55
2019-03-10,54
2019-03-17,54
2019-03-24,54
2019-03-31,53
2019-04-07,52
2019-04-14,54
2019-04-21,52
2019-04-28,52
2019-05-05,51
2019-05-12,52
2019-05-19,53
2019-05-26,54
2019-06-02,55
2019-06-09,53
2019-06-16,54
2019-06-23,53
2019-06-30,53
2019-07-07,54
2019-07-14,53
2019-07-21,51
2019-07-28,50
2019-08-04,50
2019-08-11,53
2019-08-18,53
2019-08-25,50
2019-09-01,48
2019-09-08,49
2019-09-15,49
2019-09-22,49
2019-09-29,50
2019-10-06,49
2019-10-13,48
2019-10-20,49
2019-10-27,48
2019-11-03,50
2019-11-10,50
2019-11-17,52
2019-11-24,55
2019-12-01,55
2019-12-08,54
2019-12-15,52
2019-12-22,52
2019-12-29,52
2020-01-05,50
2020-01-12,49
2020-01-19,49
2020-01-26,49
2020-02-02,48
2020-02-09,48
2020-02-16,50
2020-02-23,51
2020-03-01,51
2020-03-08,48
2020-03-15,46
2020-03-22,50
2020-03-29,52
2020-04-05,58
2020-04-12,61
2020-04-19,61
2020-04-26,61
