Category: All categories

Week,yahoo: (United States)
2015-05-03,94
2015-05-10,94
2015-05-17,93
2015-05-24,91
2015-05-31,92
2015-06-07,95
2015-06-14,93
2015-06-21,93
2015-06-28,93
2015-07-05,95
2015-07-12,92
2015-07-19,94
2015-07-26,95
2015-08-02,94
2015-08-09,98
2015-08-16,98
2015-08-23,100
2015-08-30,96
2015-09-06,95
2015-09-13,97
2015-09-20,98
2015-09-27,93
2015-10-04,94
2015-10-11,93
2015-10-18,90
2015-10-25,94
2015-11-01,92
2015-11-08,90
2015-11-15,90
2015-11-22,80
2015-11-29,89
2015-12-06,87
2015-12-13,86
2015-12-20,80
2015-12-27,78
2016-01-03,78
2016-01-10,76
2016-01-17,76
2016-01-24,76
2016-01-31,77
2016-02-07,72
2016-02-14,72
2016-02-21,73
2016-02-28,74
2016-03-06,74
2016-03-13,77
2016-03-20,73
2016-03-27,75
2016-04-03,72
2016-04-10,73
2016-04-17,72
2016-04-24,71
2016-05-01,70
2016-05-08,72
2016-05-15,70
2016-05-22,71
2016-05-29,67
2016-06-05,72
2016-06-12,72
2016-06-19,72
2016-06-26,71
2016-07-03,69
2016-07-10,71
2016-07-17,72
2016-07-24,73
2016-07-31,72
2016-08-07,70
2016-08-14,72
2016-08-21,73
2016-08-28,73
2016-09-04,72
2016-09-11,72
2016-09-18,76
2016-09-25,73
2016-10-02,69
2016-10-09,71
2016-10-16,69
2016-10-23,71
2016-10-30,68
2016-11-06,71
2016-11-13,67
2016-11-20,62
2016-11-27,67
2016-12-04,65
2016-12-11,69
2016-12-18,66
2016-12-25,61
2017-01-01,64
2017-01-08,65
2017-01-15,63
2017-01-22,65
2017-01-29,66
2017-02-05,64
2017-02-12,64
2017-02-19,63
2017-02-26,64
2017-03-05,63
2017-03-12,66
2017-03-19,66
2017-03-26,65
2017-04-02,63
2017-04-09,64
2017-04-16,65
2017-04-23,65
2017-04-30,64
2017-05-07,65
2017-05-14,65
2017-05-21,66
2017-05-28,63
2017-06-04,66
2017-06-11,67
2017-06-18,64
2017-06-25,65
2017-07-02,59
2017-07-09,64
2017-07-16,65
2017-07-23,68
2017-07-30,69
2017-08-06,68
2017-08-13,69
2017-08-20,69
2017-08-27,72
2017-09-03,67
2017-09-10,69
2017-09-17,67
2017-09-24,71
2017-10-01,69
2017-10-08,65
2017-10-15,64
2017-10-22,65
2017-10-29,65
2017-11-05,64
2017-11-12,65
2017-11-19,60
2017-11-26,66
2017-12-03,66
2017-12-10,66
2017-12-17,65
2017-12-24,60
2017-12-31,61
2018-01-07,63
2018-01-14,61
2018-01-21,63
2018-01-28,63
2018-02-04,66
2018-02-11,67
2018-02-18,62
2018-02-25,62
2018-03-04,60
2018-03-11,62
2018-03-18,63
2018-03-25,61
2018-04-01,61
2018-04-08,62
2018-04-15,60
2018-04-22,59
2018-04-29,55
2018-05-06,53
2018-05-13,55
2018-05-20,55
2018-05-27,51
2018-06-03,54
2018-06-10,55
2018-06-17,54
2018-06-24,55
2018-07-01,52
2018-07-08,55
2018-07-15,53
2018-07-22,55
2018-07-29,55
2018-08-05,55
2018-08-12,56
2018-08-19,56
2018-08-26,59
2018-09-02,57
2018-09-09,56
2018-09-16,55
2018-09-23,55
2018-09-30,54
2018-10-07,54
2018-10-14,55
2018-10-21,54
2018-10-28,52
2018-11-04,52
2018-11-11,51
2018-11-18,48
2018-11-25,52
2018-12-02,52
2018-12-09,52
2018-12-16,52
2018-12-23,48
2018-12-30,49
2019-01-06,51
2019-01-13,49
2019-01-20,49
2019-01-27,50
2019-02-03,49
2019-02-10,48
2019-02-17,48
2019-02-24,47
2019-03-03,47
2019-03-10,48
2019-03-17,50
2019-03-24,48
2019-03-31,47
2019-04-07,47
2019-04-14,46
2019-04-21,48
2019-04-28,48
2019-05-05,48
2019-05-12,49
2019-05-19,50
2019-05-26,48
2019-06-02,51
2019-06-09,50
2019-06-16,49
2019-06-23,51
2019-06-30,48
2019-07-07,50
2019-07-14,50
2019-07-21,50
2019-07-28,51
2019-08-04,53
2019-08-11,53
2019-08-18,54
2019-08-25,54
2019-09-01,52
2019-09-08,54
2019-09-15,51
2019-09-22,52
2019-09-29,51
2019-10-06,51
2019-10-13,50
2019-10-20,50
2019-10-27,50
2019-11-03,51
2019-11-10,50
2019-11-17,49
2019-11-24,46
2019-12-01,51
2019-12-08,50
2019-12-15,51
2019-12-22,47
2019-12-29,47
2020-01-05,51
2020-01-12,48
2020-01-19,50
2020-01-26,53
2020-02-02,51
2020-02-09,50
2020-02-16,49
2020-02-23,52
2020-03-01,52
2020-03-08,57
2020-03-15,61
2020-03-22,59
2020-03-29,57
2020-04-05,57
2020-04-12,56
2020-04-19,57
2020-04-26,57
