Category: All categories

Week,walmart: (United States)
2015-05-03,33
2015-05-10,33
2015-05-17,34
2015-05-24,36
2015-05-31,35
2015-06-07,38
2015-06-14,37
2015-06-21,37
2015-06-28,41
2015-07-05,38
2015-07-12,44
2015-07-19,38
2015-07-26,38
2015-08-02,38
2015-08-09,38
2015-08-16,38
2015-08-23,36
2015-08-30,36
2015-09-06,35
2015-09-13,34
2015-09-20,33
2015-09-27,33
2015-10-04,33
2015-10-11,34
2015-10-18,34
2015-10-25,36
2015-11-01,37
2015-11-08,42
2015-11-15,45
2015-11-22,83
2015-11-29,51
2015-12-06,46
2015-12-13,50
2015-12-20,76
2015-12-27,45
2016-01-03,33
2016-01-10,32
2016-01-17,32
2016-01-24,30
2016-01-31,31
2016-02-07,32
2016-02-14,32
2016-02-21,32
2016-02-28,31
2016-03-06,31
2016-03-13,32
2016-03-20,33
2016-03-27,35
2016-04-03,32
2016-04-10,31
2016-04-17,32
2016-04-24,33
2016-05-01,34
2016-05-08,34
2016-05-15,35
2016-05-22,37
2016-05-29,40
2016-06-05,40
2016-06-12,40
2016-06-19,39
2016-06-26,40
2016-07-03,42
2016-07-10,40
2016-07-17,39
2016-07-24,41
2016-07-31,39
2016-08-07,37
2016-08-14,37
2016-08-21,37
2016-08-28,37
2016-09-04,37
2016-09-11,34
2016-09-18,34
2016-09-25,34
2016-10-02,36
2016-10-09,35
2016-10-16,36
2016-10-23,37
2016-10-30,36
2016-11-06,40
2016-11-13,47
2016-11-20,87
2016-11-27,53
2016-12-04,49
2016-12-11,52
2016-12-18,66
2016-12-25,59
2017-01-01,41
2017-01-08,35
2017-01-15,34
2017-01-22,33
2017-01-29,35
2017-02-05,34
2017-02-12,34
2017-02-19,37
2017-02-26,37
2017-03-05,37
2017-03-12,35
2017-03-19,35
2017-03-26,36
2017-04-02,36
2017-04-09,38
2017-04-16,38
2017-04-23,37
2017-04-30,38
2017-05-07,39
2017-05-14,38
2017-05-21,38
2017-05-28,43
2017-06-04,42
2017-06-11,44
2017-06-18,42
2017-06-25,45
2017-07-02,46
2017-07-09,43
2017-07-16,43
2017-07-23,43
2017-07-30,44
2017-08-06,44
2017-08-13,45
2017-08-20,43
2017-08-27,40
2017-09-03,41
2017-09-10,38
2017-09-17,37
2017-09-24,38
2017-10-01,38
2017-10-08,38
2017-10-15,39
2017-10-22,41
2017-10-29,44
2017-11-05,47
2017-11-12,50
2017-11-19,95
2017-11-26,56
2017-12-03,51
2017-12-10,55
2017-12-17,64
2017-12-24,72
2017-12-31,46
2018-01-07,39
2018-01-14,38
2018-01-21,35
2018-01-28,36
2018-02-04,34
2018-02-11,35
2018-02-18,38
2018-02-25,38
2018-03-04,39
2018-03-11,37
2018-03-18,36
2018-03-25,39
2018-04-01,44
2018-04-08,39
2018-04-15,39
2018-04-22,37
2018-04-29,40
2018-05-06,41
2018-05-13,40
2018-05-20,42
2018-05-27,44
2018-06-03,42
2018-06-10,45
2018-06-17,44
2018-06-24,45
2018-07-01,50
2018-07-08,45
2018-07-15,45
2018-07-22,45
2018-07-29,45
2018-08-05,45
2018-08-12,45
2018-08-19,43
2018-08-26,42
2018-09-02,42
2018-09-09,40
2018-09-16,39
2018-09-23,38
2018-09-30,39
2018-10-07,41
2018-10-14,40
2018-10-21,41
2018-10-28,43
2018-11-04,45
2018-11-11,53
2018-11-18,100
2018-11-25,60
2018-12-02,55
2018-12-09,56
2018-12-16,62
2018-12-23,81
2018-12-30,49
2019-01-06,39
2019-01-13,38
2019-01-20,38
2019-01-27,39
2019-02-03,37
2019-02-10,39
2019-02-17,40
2019-02-24,41
2019-03-03,41
2019-03-10,41
2019-03-17,41
2019-03-24,40
2019-03-31,42
2019-04-07,41
2019-04-14,41
2019-04-21,45
2019-04-28,42
2019-05-05,42
2019-05-12,43
2019-05-19,45
2019-05-26,47
2019-06-02,46
2019-06-09,46
2019-06-16,46
2019-06-23,47
2019-06-30,53
2019-07-07,47
2019-07-14,49
2019-07-21,47
2019-07-28,50
2019-08-04,53
2019-08-11,48
2019-08-18,46
2019-08-25,43
2019-09-01,44
2019-09-08,39
2019-09-15,40
2019-09-22,40
2019-09-29,41
2019-10-06,41
2019-10-13,41
2019-10-20,43
2019-10-27,43
2019-11-03,46
2019-11-10,50
2019-11-17,53
2019-11-24,98
2019-12-01,59
2019-12-08,54
2019-12-15,58
2019-12-22,84
2019-12-29,50
2020-01-05,39
2020-01-12,37
2020-01-19,37
2020-01-26,35
2020-02-02,36
2020-02-09,38
2020-02-16,37
2020-02-23,39
2020-03-01,40
2020-03-08,46
2020-03-15,63
2020-03-22,61
2020-03-29,63
2020-04-05,62
2020-04-12,66
2020-04-19,60
2020-04-26,62
