Region,Date,driving,transit,walking
United States,2/29/2020,138.41,109.92,155.82
United States,3/1/2020,101.04,85.31,102.29
United States,3/2/2020,107.73,98.06,99.2
United States,3/3/2020,112.98,100.26,104.76
United States,3/4/2020,113.05,101.5,104.61
United States,3/5/2020,119.74,103.53,111.67
United States,3/6/2020,139.98,111.5,133.94
United States,3/7/2020,137.37,107.32,155.7
United States,3/8/2020,101.64,84.23,107.77
United States,3/9/2020,109.65,97.1,105.33
United States,3/10/2020,111.34,92.48,103.06
United States,3/11/2020,110.97,89.97,102.34
United States,3/12/2020,108.49,79.08,96.43
United States,3/13/2020,117.01,76.78,105.88
United States,3/14/2020,102.87,64.59,105.24
United States,3/15/2020,76.16,49.93,69.72
United States,3/16/2020,84.09,50.79,69.43
United States,3/17/2020,77.04,43.58,64.05
United States,3/18/2020,72.84,39.63,59.26
United States,3/19/2020,70.21,36.76,56.3
United States,3/20/2020,74.33,35.8,59.59
United States,3/21/2020,62.31,29.31,52.26
United States,3/22/2020,46.45,24.84,39.71
United States,3/23/2020,55.73,28.17,44.31
United States,3/24/2020,55.52,27.91,46.34
United States,3/25/2020,55.24,26.94,46.04
United States,3/26/2020,56.81,27.09,48.25
United States,3/27/2020,62.22,28.07,51.95
United States,3/28/2020,52.56,23.83,44.42
United States,3/29/2020,42.96,22.39,38.29
United States,3/30/2020,53.53,26.51,45.36
United States,3/31/2020,53.98,25.47,45.06
United States,4/1/2020,55.49,25.24,47.41
United States,4/2/2020,55.64,24.67,47.1
United States,4/3/2020,60.61,25.04,50.2
United States,4/4/2020,52.22,22.42,45.77
United States,4/5/2020,42.19,20.92,38.89
United States,4/6/2020,53.73,24.71,46.94
United States,4/7/2020,55.27,24.65,48.7
United States,4/8/2020,56.21,24.51,48.77
United States,4/9/2020,56.9,23.69,46.28
United States,4/10/2020,63.87,24.31,51.97
United States,4/11/2020,57.51,22.65,50.69
New York City,2/29/2020,126.33,115.21,138.83
New York City,3/1/2020,96.78,87.01,103.41
New York City,3/2/2020,102.58,92.87,102.8
New York City,3/3/2020,105.46,93.89,99.36
New York City,3/4/2020,107.92,98.65,110.29
New York City,3/5/2020,112.64,100.54,114.95
New York City,3/6/2020,126.8,108.43,121.34
New York City,3/7/2020,125.82,114.48,147.96
New York City,3/8/2020,96.7,86.13,110.32
New York City,3/9/2020,104.61,92.2,114.55
New York City,3/10/2020,101.42,85.1,102.1
New York City,3/11/2020,100.27,81.65,97.08
New York City,3/12/2020,93.95,69.1,83.02
New York City,3/13/2020,100.36,66.28,86.93
New York City,3/14/2020,88.65,58.17,80.86
New York City,3/15/2020,64.46,40.65,53.22
New York City,3/16/2020,67.81,36.57,45.04
New York City,3/17/2020,60.47,30.15,38.52
New York City,3/18/2020,59.38,27.35,38.01
New York City,3/19/2020,54.24,25.2,33
New York City,3/20/2020,59.45,24.13,38.56
New York City,3/21/2020,49.13,18.74,32.23
New York City,3/22/2020,34.34,14.97,22.22
New York City,3/23/2020,36.26,15.46,18.98
New York City,3/24/2020,42.53,16.52,27.06
New York City,3/25/2020,39.39,15.32,21.93
New York City,3/26/2020,43.45,16.05,27.1
New York City,3/27/2020,48.15,17.14,30.7
New York City,3/28/2020,37.18,13.4,20.61
New York City,3/29/2020,30.64,12.84,18.23
New York City,3/30/2020,39.39,15.43,23.46
New York City,3/31/2020,39.59,14.55,22.96
New York City,4/1/2020,41.2,14.39,25.07
New York City,4/2/2020,41.01,13.84,24.07
New York City,4/3/2020,43.97,13.76,23.7
New York City,4/4/2020,41.34,12.71,26.26
New York City,4/5/2020,34.1,12.03,21.96
New York City,4/6/2020,42.46,14.26,27.33
New York City,4/7/2020,42.49,13.54,26.41
New York City,4/8/2020,41.44,13.32,24.83
New York City,4/9/2020,40.03,12.73,21.52
New York City,4/10/2020,45.9,13.37,24.01
New York City,4/11/2020,44.55,12.52,26.8
Washington DC,2/29/2020,128.34,109.45,144.66
Washington DC,3/1/2020,96.56,88.1,113.18
Washington DC,3/2/2020,106.99,99.54,104.74
Washington DC,3/3/2020,110.98,103.07,113.76
Washington DC,3/4/2020,112.23,104.46,120.47
Washington DC,3/5/2020,115.66,106.06,116.91
Washington DC,3/6/2020,130.54,114.65,130.96
Washington DC,3/7/2020,133.53,113.59,165.53
Washington DC,3/8/2020,100.47,88.74,125.01
Washington DC,3/9/2020,108.19,100.27,118.95
Washington DC,3/10/2020,106.25,95.38,106.91
Washington DC,3/11/2020,105.11,90.73,101.09
Washington DC,3/12/2020,101.89,78.45,93.05
Washington DC,3/13/2020,107.94,76.38,104.24
Washington DC,3/14/2020,93.77,60.2,96.93
Washington DC,3/15/2020,64.94,44.48,57.97
Washington DC,3/16/2020,74.91,47.06,57.09
Washington DC,3/17/2020,68.14,40.1,54.55
Washington DC,3/18/2020,64.23,36.31,50.56
Washington DC,3/19/2020,63.93,33.61,54.55
Washington DC,3/20/2020,69.48,33.13,58.62
Washington DC,3/21/2020,59.31,25.68,53.16
Washington DC,3/22/2020,45.78,21.63,43.48
Washington DC,3/23/2020,47.58,22.98,31.99
