word,count
stay home,5130
new york,4995
tested positive,2995
death toll,2835
white house,2633
stay safe,2412
year old,2199
gon na,2107
corona virus,2096
health care,1916
due covid,1914
virus corona,1826
positive covid,1782
public health,1780
task force,1645
twitter web,1636
fake news,1604
sign petition,1493
president trump,1476
fight covid,1461
many people,1360
amid covid,1243
made pillow,1175
good news,1158
virus covid,1147
around world,1146
test positive,1135
last week,1126
fox news,1045
help us,1043
petition via,1031
mental health,1021
sign petition via,1006
every day,992
social media,965
people dying,959
make sure,955
spread covid,941
working home,927
god bless,921
death rate,916
first time,916
trump administration,912
at home,859
response covid,831
go back,825
take care,822
home order,800
one day,794
people die,787
