origin_airport,dest_airport,carrier_name,date,number_seats,weighted_seats
BOS,ACK,Cape Air,3/20/20,9,4.83174
BOS,ACK,Cape Air,3/20/20,9,4.83174
BOS,ACK,Cape Air,3/21/20,9,4.83174
BOS,ACK,Cape Air,3/22/20,9,4.83174
BOS,ACK,Cape Air,3/24/20,9,4.83174
BOS,ACK,Cape Air,3/26/20,9,4.83174
BOS,ACK,Cape Air,3/26/20,9,4.83174
BOS,ATL,Delta Air Lines,3/20/20,189,161.93709
BOS,ATL,Delta Air Lines,3/20/20,189,161.93709
BOS,ATL,Delta Air Lines,3/20/20,189,161.93709
BOS,ATL,Delta Air Lines,3/20/20,189,161.93709
BOS,ATL,Delta Air Lines,3/20/20,189,161.93709
BOS,ATL,Delta Air Lines,3/20/20,189,161.93709
BOS,ATL,Delta Air Lines,3/20/20,189,161.93709
BOS,ATL,JetBlue Airways,3/20/20,100,85.681
BOS,ATL,Delta Air Lines,3/21/20,189,161.93709
BOS,ATL,Delta Air Lines,3/21/20,189,161.93709
BOS,ATL,Delta Air Lines,3/21/20,189,161.93709
BOS,ATL,Delta Air Lines,3/21/20,189,161.93709
BOS,ATL,Delta Air Lines,3/21/20,189,161.93709
BOS,ATL,JetBlue Airways,3/21/20,100,85.681
BOS,ATL,Delta Air Lines,3/22/20,189,161.93709
BOS,ATL,Delta Air Lines,3/22/20,189,161.93709
BOS,ATL,Delta Air Lines,3/22/20,189,161.93709
BOS,ATL,Delta Air Lines,3/22/20,189,161.93709
BOS,ATL,Delta Air Lines,3/22/20,189,161.93709
BOS,ATL,Delta Air Lines,3/22/20,189,161.93709
BOS,ATL,JetBlue Airways,3/22/20,100,85.681
BOS,ATL,JetBlue Airways,3/22/20,100,85.681
BOS,ATL,Delta Air Lines,3/23/20,189,161.93709
BOS,ATL,Delta Air Lines,3/23/20,189,161.93709
BOS,ATL,Delta Air Lines,3/23/20,189,161.93709
BOS,ATL,Delta Air Lines,3/23/20,189,161.93709
BOS,ATL,Delta Air Lines,3/23/20,189,161.93709
BOS,ATL,Delta Air Lines,3/23/20,189,161.93709
BOS,ATL,Delta Air Lines,3/23/20,189,161.93709
BOS,ATL,JetBlue Airways,3/23/20,100,85.681
BOS,ATL,JetBlue Airways,3/23/20,100,85.681
BOS,ATL,Delta Air Lines,3/24/20,189,161.93709
BOS,ATL,Delta Air Lines,3/24/20,189,161.93709
BOS,ATL,Delta Air Lines,3/24/20,189,161.93709
BOS,ATL,Delta Air Lines,3/24/20,189,161.93709
BOS,ATL,Delta Air Lines,3/24/20,189,161.93709
BOS,ATL,Delta Air Lines,3/24/20,157,134.51917
BOS,ATL,Delta Air Lines,3/24/20,189,161.93709
BOS,ATL,JetBlue Airways,3/24/20,100,85.681
BOS,ATL,JetBlue Airways,3/24/20,100,85.681
BOS,ATL,Delta Air Lines,3/25/20,189,161.93709
BOS,ATL,Delta Air Lines,3/25/20,157,134.51917
BOS,ATL,Delta Air Lines,3/25/20,189,161.93709
BOS,ATL,Delta Air Lines,3/25/20,189,161.93709
BOS,ATL,Delta Air Lines,3/25/20,189,161.93709
BOS,ATL,Delta Air Lines,3/25/20,189,161.93709
BOS,ATL,Delta Air Lines,3/25/20,189,161.93709
BOS,ATL,JetBlue Airways,3/25/20,100,85.681
BOS,ATL,JetBlue Airways,3/25/20,100,85.681
BOS,ATL,Delta Air Lines,3/26/20,189,161.93709
BOS,ATL,Delta Air Lines,3/26/20,157,134.51917
BOS,ATL,Delta Air Lines,3/26/20,189,161.93709
BOS,ATL,Delta Air Lines,3/26/20,189,161.93709
BOS,ATL,Delta Air Lines,3/26/20,189,161.93709
BOS,ATL,Delta Air Lines,3/26/20,189,161.93709
BOS,ATL,Delta Air Lines,3/26/20,189,161.93709
BOS,ATL,JetBlue Airways,3/26/20,100,85.681
BOS,ATL,JetBlue Airways,3/26/20,100,85.681
BOS,ATL,JetBlue Airways,3/27/20,157,134.51917
BOS,ATL,Delta Air Lines,3/27/20,189,161.93709
BOS,ATL,JetBlue Airways,3/27/20,189,161.93709
BOS,ATL,JetBlue Airways,3/27/20,199,170.50519
BOS,ATL,JetBlue Airways,3/27/20,199,170.50519
BOS,ATL,JetBlue Airways,3/27/20,189,161.93709
BOS,ATL,JetBlue Airways,3/28/20,189,161.93709
BOS,ATL,JetBlue Airways,3/28/20,199,170.50519
BOS,ATL,JetBlue Airways,3/28/20,199,170.50519
BOS,ATL,JetBlue Airways,3/29/20,189,161.93709
BOS,ATL,JetBlue Airways,3/29/20,189,161.93709
BOS,ATL,JetBlue Airways,3/30/20,199,170.50519
BOS,ATL,JetBlue Airways,3/30/20,189,161.93709
BOS,ATL,JetBlue Airways,3/31/20,199,170.50519
BOS,ATL,JetBlue Airways,3/31/20,189,161.93709
BOS,AUG,Cape Air,3/20/20,9,3.65166
BOS,AUG,Cape Air,3/21/20,9,3.65166
BOS,AUG,Cape Air,3/22/20,9,3.65166
BOS,AUG,Cape Air,3/23/20,9,3.65166
BOS,AUG,Cape Air,3/24/20,9,3.65166
BOS,AUG,Cape Air,3/25/20,9,3.65166
BOS,AUG,Cape Air,3/26/20,9,3.65166
BOS,AUS,JetBlue Airways,3/20/20,162,140.11542
BOS,AUS,Delta Air Lines,3/21/20,157,135.79087
BOS,AUS,JetBlue Airways,3/21/20,100,86.491
BOS,AUS,JetBlue Airways,3/22/20,162,140.11542
BOS,AUS,JetBlue Airways,3/23/20,162,140.11542
BOS,AUS,JetBlue Airways,3/24/20,162,140.11542
BOS,AUS,JetBlue Airways,3/25/20,162,140.11542
BOS,AUS,JetBlue Airways,3/26/20,162,140.11542
BOS,BHB,Cape Air,3/20/20,9,4.46742
BOS,BHB,Cape Air,3/21/20,9,4.46742
BOS,BHB,Cape Air,3/22/20,9,4.46742
BOS,BHB,Cape Air,3/23/20,9,4.46742
BOS,BHB,Cape Air,3/24/20,9,4.46742
BOS,BHB,Cape Air,3/25/20,9,4.46742
BOS,BHB,Cape Air,3/26/20,9,4.46742
BOS,BNA,Republic Airline,3/20/20,76,65.75444
BOS,BNA,Southwest Airlines Co.,3/20/20,162,140.16078
BOS,BNA,Republic Airline,3/21/20,76,65.75444
BOS,BNA,JetBlue Airways,3/21/20,162,140.16078
BOS,BNA,Republic Airline,3/22/20,76,65.75444
BOS,BNA,Southwest Airlines Co.,3/22/20,162,140.16078
BOS,BNA,Republic Airline,3/23/20,76,65.75444
BOS,BNA,Southwest Airlines Co.,3/23/20,162,140.16078
BOS,BNA,Republic Airline,3/24/20,76,65.75444
BOS,BNA,Southwest Airlines Co.,3/24/20,162,140.16078
BOS,BNA,Republic Airline,3/25/20,76,65.75444
BOS,BNA,Southwest Airlines Co.,3/25/20,162,140.16078
BOS,BNA,Republic Airline,3/26/20,76,65.75444
BOS,BNA,Southwest Airlines Co.,3/26/20,162,140.16078
BOS,BNA,Southwest Airlines Co.,3/27/20,76,65.75444
BOS,BNA,JetBlue Airways,3/27/20,76,65.75444
BOS,BNA,Southwest Airlines Co.,3/28/20,70,60.5633
BOS,BNA,Southwest Airlines Co.,3/29/20,76,65.75444
BOS,BNA,Southwest Airlines Co.,3/30/20,76,65.75444
BOS,BNA,Southwest Airlines Co.,3/31/20,76,65.75444
BOS,BUF,JetBlue Airways,3/20/20,76,49.72832
BOS,BUF,JetBlue Airways,3/21/20,76,49.72832
BOS,BUF,JetBlue Airways,3/22/20,76,49.72832
BOS,BUF,JetBlue Airways,3/23/20,76,49.72832
BOS,BUF,JetBlue Airways,3/24/20,76,49.72832
BOS,BUF,JetBlue Airways,3/25/20,76,49.72832
BOS,BUF,JetBlue Airways,3/26/20,76,49.72832
BOS,BUF,Endeavor Air,3/27/20,76,49.72832
BOS,BUF,Endeavor Air,3/30/20,76,49.72832
BOS,BUF,Endeavor Air,3/31/20,76,49.72832
BOS,BWI,JetBlue Airways,3/20/20,100,77.852
BOS,BWI,Southwest Airlines Co.,3/20/20,100,77.852
BOS,BWI,JetBlue Airways,3/22/20,100,77.852
BOS,BWI,JetBlue Airways,3/23/20,100,77.852
BOS,BWI,Southwest Airlines Co.,3/23/20,100,77.852
BOS,BWI,Southwest Airlines Co.,3/24/20,100,77.852
BOS,BWI,Southwest Airlines Co.,3/25/20,100,77.852
BOS,BWI,JetBlue Airways,3/26/20,100,77.852
BOS,BWI,Southwest Airlines Co.,3/26/20,100,77.852
BOS,CHS,JetBlue Airways,3/20/20,70,61.8226
BOS,CHS,JetBlue Airways,3/20/20,162,143.07516
BOS,CHS,JetBlue Airways,3/22/20,70,61.8226
BOS,CHS,JetBlue Airways,3/22/20,162,143.07516
BOS,CHS,JetBlue Airways,3/23/20,76,67.12168
BOS,CHS,JetBlue Airways,3/23/20,162,143.07516
BOS,CHS,JetBlue Airways,3/24/20,70,61.8226
BOS,CHS,JetBlue Airways,3/24/20,162,143.07516
BOS,CHS,JetBlue Airways,3/25/20,70,61.8226
BOS,CHS,JetBlue Airways,3/25/20,162,143.07516
BOS,CHS,JetBlue Airways,3/26/20,76,67.12168
BOS,CHS,JetBlue Airways,3/26/20,162,143.07516
BOS,CHS,JetBlue Airways,3/27/20,76,67.12168
BOS,CHS,JetBlue Airways,3/28/20,110,97.1498
BOS,CLE,Republic Airline,3/20/20,76,61.86172
BOS,CLE,JetBlue Airways,3/20/20,100,81.397
BOS,CLE,Republic Airline,3/21/20,70,56.9779
BOS,CLE,JetBlue Airways,3/21/20,100,81.397
BOS,CLE,JetBlue Airways,3/22/20,100,81.397
BOS,CLE,JetBlue Airways,3/23/20,100,81.397
BOS,CLE,JetBlue Airways,3/24/20,100,81.397
BOS,CLE,JetBlue Airways,3/25/20,100,81.397
BOS,CLE,JetBlue Airways,3/26/20,100,81.397
BOS,CLE,JetBlue Airways,3/27/20,76,61.86172
BOS,CLE,Republic Airline,3/28/20,76,61.86172
BOS,CLE,JetBlue Airways,3/29/20,76,61.86172
BOS,CLE,JetBlue Airways,3/30/20,76,61.86172
BOS,CLE,JetBlue Airways,3/31/20,76,61.86172
BOS,CLT,American Airlines,3/20/20,100,85.876
BOS,CLT,American Airlines,3/21/20,100,85.876
BOS,CLT,American Airlines,3/22/20,100,85.876
BOS,CLT,American Airlines,3/23/20,100,85.876
BOS,CLT,American Airlines,3/24/20,100,85.876
BOS,CLT,American Airlines,3/25/20,100,85.876
BOS,CLT,American Airlines,3/26/20,100,85.876
BOS,CMH,Republic Airline,3/20/20,76,49.70856
BOS,CMH,Republic Airline,3/21/20,76,49.70856
BOS,CMH,Republic Airline,3/22/20,76,49.70856
BOS,CMH,Republic Airline,3/23/20,76,49.70856
BOS,CMH,Republic Airline,3/24/20,76,49.70856
BOS,CMH,Republic Airline,3/25/20,76,49.70856
BOS,CMH,Republic Airline,3/26/20,76,49.70856
BOS,CMH,Southwest Airlines Co.,3/27/20,70,45.7842
BOS,CMH,Republic Airline,3/28/20,70,45.7842
BOS,CMH,Southwest Airlines Co.,3/29/20,76,49.70856
BOS,CMH,Southwest Airlines Co.,3/30/20,76,49.70856
BOS,CMH,Southwest Airlines Co.,3/31/20,76,49.70856
BOS,CVG,Endeavor Air,3/20/20,76,48.6058
BOS,CVG,Endeavor Air,3/20/20,110,70.3505
BOS,CVG,Delta Air Lines,3/21/20,76,48.6058
BOS,CVG,Endeavor Air,3/22/20,76,48.6058
BOS,CVG,Endeavor Air,3/22/20,110,70.3505
BOS,CVG,Endeavor Air,3/23/20,76,48.6058
BOS,CVG,Endeavor Air,3/23/20,110,70.3505
BOS,CVG,Endeavor Air,3/24/20,76,48.6058
BOS,CVG,Endeavor Air,3/24/20,110,70.3505
BOS,CVG,Endeavor Air,3/25/20,76,48.6058
BOS,CVG,Endeavor Air,3/26/20,76,48.6058
BOS,CVG,Endeavor Air,3/27/20,76,48.6058
BOS,CVG,Endeavor Air,3/27/20,110,70.3505
BOS,CVG,Endeavor Air,3/28/20,110,70.3505
BOS,CVG,Endeavor Air,3/29/20,76,48.6058
BOS,CVG,Endeavor Air,3/29/20,110,70.3505
BOS,CVG,Endeavor Air,3/30/20,76,48.6058
BOS,CVG,Endeavor Air,3/30/20,110,70.3505
BOS,CVG,Endeavor Air,3/31/20,76,48.6058
BOS,CVG,Endeavor Air,3/31/20,110,70.3505
BOS,DCA,JetBlue Airways,3/20/20,76,61.98864
BOS,DCA,JetBlue Airways,3/20/20,76,61.98864
BOS,DCA,Republic Airline,3/20/20,70,57.0948
BOS,DCA,Republic Airline,3/20/20,76,61.98864
BOS,DCA,American Airlines,3/20/20,162,132.13368
BOS,DCA,American Airlines,3/20/20,100,81.564
BOS,DCA,American Airlines,3/20/20,100,81.564
BOS,DCA,American Airlines,3/20/20,100,81.564
BOS,DCA,JetBlue Airways,3/20/20,100,81.564
BOS,DCA,JetBlue Airways,3/21/20,76,61.98864
BOS,DCA,JetBlue Airways,3/21/20,76,61.98864
BOS,DCA,American Airlines,3/21/20,162,132.13368
BOS,DCA,American Airlines,3/21/20,100,81.564
BOS,DCA,American Airlines,3/21/20,100,81.564
BOS,DCA,American Airlines,3/21/20,100,81.564
BOS,DCA,JetBlue Airways,3/21/20,100,81.564
BOS,DCA,Republic Airline,3/22/20,76,61.98864
BOS,DCA,American Airlines,3/22/20,100,81.564
BOS,DCA,American Airlines,3/22/20,100,81.564
BOS,DCA,American Airlines,3/22/20,100,81.564
BOS,DCA,JetBlue Airways,3/22/20,100,81.564
BOS,DCA,Republic Airline,3/23/20,76,61.98864
BOS,DCA,American Airlines,3/23/20,100,81.564
BOS,DCA,American Airlines,3/23/20,100,81.564
BOS,DCA,Republic Airline,3/24/20,70,57.0948
BOS,DCA,American Airlines,3/24/20,100,81.564
BOS,DCA,American Airlines,3/24/20,100,81.564
BOS,DCA,Republic Airline,3/25/20,70,57.0948
BOS,DCA,American Airlines,3/25/20,100,81.564
BOS,DCA,American Airlines,3/25/20,100,81.564
BOS,DCA,Republic Airline,3/26/20,76,61.98864
BOS,DCA,American Airlines,3/26/20,100,81.564
BOS,DCA,American Airlines,3/26/20,100,81.564
BOS,DCA,American Airlines,3/27/20,70,57.0948
BOS,DCA,JetBlue Airways,3/28/20,76,61.98864
BOS,DEN,United Airlines,3/20/20,162,143.4105
BOS,DEN,United Airlines,3/22/20,162,143.4105
BOS,DEN,United Airlines,3/23/20,162,143.4105
BOS,DEN,United Airlines,3/24/20,162,143.4105
BOS,DEN,United Airlines,3/25/20,162,143.4105
BOS,DEN,United Airlines,3/26/20,162,143.4105
BOS,DFW,American Airlines,3/20/20,162,144.25938
BOS,DFW,American Airlines,3/23/20,162,144.25938
BOS,DFW,American Airlines,3/24/20,162,144.25938
BOS,DFW,American Airlines,3/25/20,162,144.25938
BOS,DFW,American Airlines,3/26/20,162,144.25938
BOS,DTW,Delta Air Lines,3/20/20,189,145.42227
BOS,DTW,Delta Air Lines,3/20/20,132,101.56476
BOS,DTW,Delta Air Lines,3/20/20,157,120.80051
BOS,DTW,JetBlue Airways,3/20/20,100,76.943
BOS,DTW,Delta Air Lines,3/21/20,109,83.86787
BOS,DTW,Delta Air Lines,3/21/20,157,120.80051
BOS,DTW,Delta Air Lines,3/22/20,189,145.42227
BOS,DTW,Delta Air Lines,3/22/20,132,101.56476
BOS,DTW,Delta Air Lines,3/22/20,157,120.80051
BOS,DTW,JetBlue Airways,3/22/20,100,76.943
BOS,DTW,Delta Air Lines,3/23/20,189,145.42227
BOS,DTW,Delta Air Lines,3/23/20,132,101.56476
BOS,DTW,Delta Air Lines,3/23/20,157,120.80051
BOS,DTW,JetBlue Airways,3/23/20,100,76.943
BOS,DTW,Delta Air Lines,3/24/20,189,145.42227
BOS,DTW,Delta Air Lines,3/24/20,132,101.56476
BOS,DTW,Delta Air Lines,3/24/20,157,120.80051
BOS,DTW,JetBlue Airways,3/24/20,100,76.943
BOS,DTW,Delta Air Lines,3/25/20,189,145.42227
BOS,DTW,Delta Air Lines,3/25/20,132,101.56476
BOS,DTW,Delta Air Lines,3/25/20,157,120.80051
BOS,DTW,JetBlue Airways,3/25/20,100,76.943
BOS,DTW,Delta Air Lines,3/26/20,189,145.42227
BOS,DTW,Delta Air Lines,3/26/20,132,101.56476
BOS,DTW,Delta Air Lines,3/26/20,157,120.80051
BOS,DTW,JetBlue Airways,3/26/20,100,76.943
BOS,DTW,Delta Air Lines,3/27/20,157,120.80051
BOS,DTW,JetBlue Airways,3/27/20,180,138.4974
BOS,DTW,JetBlue Airways,3/27/20,189,145.42227
BOS,DTW,JetBlue Airways,3/28/20,109,83.86787
BOS,DTW,JetBlue Airways,3/28/20,189,145.42227
BOS,DTW,Delta Air Lines,3/29/20,189,145.42227
BOS,DTW,JetBlue Airways,3/29/20,189,145.42227
BOS,DTW,Delta Air Lines,3/30/20,189,145.42227
BOS,DTW,JetBlue Airways,3/30/20,189,145.42227
BOS,DTW,Delta Air Lines,3/31/20,189,145.42227
BOS,DTW,JetBlue Airways,3/31/20,189,145.42227
BOS,EWR,United Airlines,3/20/20,70,52.5238
BOS,EWR,Republic Airline,3/20/20,70,52.5238
BOS,EWR,United Airlines,3/20/20,100,75.034
BOS,EWR,United Airlines,3/21/20,76,57.02584
BOS,EWR,United Airlines,3/21/20,100,75.034
BOS,EWR,United Airlines,3/22/20,76,57.02584
BOS,EWR,Republic Airline,3/22/20,70,52.5238
BOS,EWR,United Airlines,3/22/20,100,75.034
BOS,EWR,United Airlines,3/23/20,70,52.5238
BOS,EWR,Republic Airline,3/23/20,70,52.5238
BOS,EWR,United Airlines,3/23/20,100,75.034
BOS,EWR,United Airlines,3/24/20,76,57.02584
BOS,EWR,Republic Airline,3/24/20,70,52.5238
BOS,EWR,United Airlines,3/24/20,100,75.034
BOS,EWR,United Airlines,3/25/20,70,52.5238
BOS,EWR,Republic Airline,3/25/20,70,52.5238
BOS,EWR,United Airlines,3/25/20,100,75.034
BOS,EWR,United Airlines,3/26/20,70,52.5238
BOS,EWR,Republic Airline,3/26/20,70,52.5238
BOS,EWR,United Airlines,3/26/20,100,75.034
BOS,EWR,JetBlue Airways,3/27/20,76,57.02584
BOS,EWR,United Airlines,3/28/20,76,57.02584
BOS,FLL,Delta Air Lines,3/20/20,157,141.39734
BOS,FLL,JetBlue Airways,3/20/20,162,145.90044
BOS,FLL,JetBlue Airways,3/20/20,162,145.90044
BOS,FLL,JetBlue Airways,3/20/20,162,145.90044
BOS,FLL,Delta Air Lines,3/21/20,189,170.21718
BOS,FLL,JetBlue Airways,3/21/20,162,145.90044
BOS,FLL,JetBlue Airways,3/21/20,162,145.90044
BOS,FLL,JetBlue Airways,3/21/20,162,145.90044
BOS,FLL,Delta Air Lines,3/22/20,157,141.39734
BOS,FLL,JetBlue Airways,3/22/20,162,145.90044
BOS,FLL,JetBlue Airways,3/22/20,162,145.90044
BOS,FLL,JetBlue Airways,3/22/20,162,145.90044
BOS,FLL,Delta Air Lines,3/23/20,157,141.39734
BOS,FLL,JetBlue Airways,3/23/20,162,145.90044
