,carrier_name,date,number_seats,weighted_seats,origin_City,origin_State,origin_airport,dest_City,dest_State,dest_airport
0,Skywest Airlines,3/24/20,50,42.254,Chicago,IL,ORD,Allentown,PA,ABE
1,Skywest Airlines,3/25/20,50,42.254,Chicago,IL,ORD,Allentown,PA,ABE
2,Skywest Airlines,3/26/20,50,42.254,Chicago,IL,ORD,Allentown,PA,ABE
3,Skywest Airlines,3/27/20,50,42.254,Chicago,IL,ORD,Allentown,PA,ABE
4,Skywest Airlines,3/28/20,50,42.254,Chicago,IL,ORD,Allentown,PA,ABE
5,Skywest Airlines,3/29/20,50,42.254,Chicago,IL,ORD,Allentown,PA,ABE
6,Skywest Airlines,3/30/20,50,42.254,Chicago,IL,ORD,Allentown,PA,ABE
7,Frontier Airlines,3/28/20,76,66.85795999999999,Denver,CO,DEN,Albuquerque,NM,ABQ
8,Frontier Airlines,4/1/20,50,43.21,Denver,CO,DEN,Albuquerque,NM,ABQ
9,Frontier Airlines,4/2/20,50,43.21,Denver,CO,DEN,Albuquerque,NM,ABQ
10,Frontier Airlines,4/3/20,50,43.21,Denver,CO,DEN,Albuquerque,NM,ABQ
11,Frontier Airlines,4/4/20,50,43.21,Denver,CO,DEN,Albuquerque,NM,ABQ
12,Frontier Airlines,4/5/20,50,43.21,Denver,CO,DEN,Albuquerque,NM,ABQ
13,Frontier Airlines,4/6/20,50,43.21,Denver,CO,DEN,Albuquerque,NM,ABQ
14,Frontier Airlines,4/7/20,50,43.21,Denver,CO,DEN,Albuquerque,NM,ABQ
15,American Airlines,3/23/20,79,69.27273000000001,Dallas,TX,DFW,Albuquerque,NM,ABQ
16,American Airlines,3/23/20,160,140.2992,Dallas,TX,DFW,Albuquerque,NM,ABQ
17,American Airlines,3/24/20,76,66.64211999999999,Dallas,TX,DFW,Albuquerque,NM,ABQ
18,American Airlines,3/24/20,160,140.2992,Dallas,TX,DFW,Albuquerque,NM,ABQ
19,American Airlines,3/25/20,79,69.27273000000001,Dallas,TX,DFW,Albuquerque,NM,ABQ
20,American Airlines,3/25/20,160,140.2992,Dallas,TX,DFW,Albuquerque,NM,ABQ
21,American Airlines,3/26/20,79,69.27273000000001,Dallas,TX,DFW,Albuquerque,NM,ABQ
22,American Airlines,3/26/20,160,140.2992,Dallas,TX,DFW,Albuquerque,NM,ABQ
23,American Airlines,3/27/20,79,69.27273000000001,Dallas,TX,DFW,Albuquerque,NM,ABQ
24,American Airlines,3/27/20,160,140.2992,Dallas,TX,DFW,Albuquerque,NM,ABQ
25,American Airlines,3/28/20,79,69.27273000000001,Dallas,TX,DFW,Albuquerque,NM,ABQ
26,American Airlines,3/28/20,160,140.2992,Dallas,TX,DFW,Albuquerque,NM,ABQ
27,American Airlines,3/29/20,79,69.27273000000001,Dallas,TX,DFW,Albuquerque,NM,ABQ
28,American Airlines,3/29/20,160,140.2992,Dallas,TX,DFW,Albuquerque,NM,ABQ
29,Southwest Airlines Co.,3/22/20,76,69.42144,Chicago,IL,ORD,Albuquerque,NM,ABQ
30,Southwest Airlines Co.,3/23/20,76,69.42144,Chicago,IL,ORD,Albuquerque,NM,ABQ
31,Southwest Airlines Co.,3/24/20,76,69.42144,Chicago,IL,ORD,Albuquerque,NM,ABQ
32,Southwest Airlines Co.,3/24/20,76,69.42144,Chicago,IL,ORD,Albuquerque,NM,ABQ
33,Southwest Airlines Co.,3/25/20,76,69.42144,Chicago,IL,ORD,Albuquerque,NM,ABQ
34,Southwest Airlines Co.,3/25/20,76,69.42144,Chicago,IL,ORD,Albuquerque,NM,ABQ
35,Southwest Airlines Co.,3/26/20,76,69.42144,Chicago,IL,ORD,Albuquerque,NM,ABQ
36,Southwest Airlines Co.,3/26/20,76,69.42144,Chicago,IL,ORD,Albuquerque,NM,ABQ
37,Southwest Airlines Co.,3/27/20,76,69.42144,Chicago,IL,ORD,Albuquerque,NM,ABQ
38,Southwest Airlines Co.,3/27/20,76,69.42144,Chicago,IL,ORD,Albuquerque,NM,ABQ
39,Southwest Airlines Co.,3/28/20,76,69.42144,Chicago,IL,ORD,Albuquerque,NM,ABQ
40,Southwest Airlines Co.,3/28/20,76,69.42144,Chicago,IL,ORD,Albuquerque,NM,ABQ
41,Southwest Airlines Co.,3/29/20,128,116.92031999999999,Chicago,IL,ORD,Albuquerque,NM,ABQ
42,Southwest Airlines Co.,3/30/20,128,116.92031999999999,Chicago,IL,ORD,Albuquerque,NM,ABQ
43,Cape Air,3/20/20,9,4.83174,Boston,MA,BOS,Nantucket,MA,ACK
44,Cape Air,3/20/20,9,4.83174,Boston,MA,BOS,Nantucket,MA,ACK
45,Cape Air,3/21/20,9,4.83174,Boston,MA,BOS,Nantucket,MA,ACK
46,Cape Air,3/22/20,9,4.83174,Boston,MA,BOS,Nantucket,MA,ACK
47,Cape Air,3/24/20,9,4.83174,Boston,MA,BOS,Nantucket,MA,ACK
48,Cape Air,3/26/20,9,4.83174,Boston,MA,BOS,Nantucket,MA,ACK
49,Cape Air,3/26/20,9,4.83174,Boston,MA,BOS,Nantucket,MA,ACK
50,American Airlines,3/27/20,44,32.67088,Dallas,TX,DFW,Waco,TX,ACT
51,Southwest Airlines Co.,3/23/20,19,9.65162,Denver,CO,DEN,Alliance,NE,AIA
52,Southwest Airlines Co.,3/24/20,19,9.65162,Denver,CO,DEN,Alliance,NE,AIA
53,Southwest Airlines Co.,3/25/20,19,9.65162,Denver,CO,DEN,Alliance,NE,AIA
54,Southwest Airlines Co.,3/26/20,19,9.65162,Denver,CO,DEN,Alliance,NE,AIA
55,Southwest Airlines Co.,3/27/20,19,9.65162,Denver,CO,DEN,Alliance,NE,AIA
56,American Eagle Airlines (Envoy Air),3/26/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
57,Skywest Airlines,3/26/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
58,American Eagle Airlines (Envoy Air),3/26/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
59,American Eagle Airlines (Envoy Air),3/27/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
60,Skywest Airlines,3/27/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
61,American Eagle Airlines (Envoy Air),3/27/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
62,American Eagle Airlines (Envoy Air),3/28/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
63,American Eagle Airlines (Envoy Air),3/28/20,76,63.29204,Newark,NJ,EWR,Albany,NY,ALB
64,American Eagle Airlines (Envoy Air),3/29/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
65,Skywest Airlines,3/29/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
66,American Eagle Airlines (Envoy Air),3/29/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
67,American Eagle Airlines (Envoy Air),3/30/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
68,Skywest Airlines,3/30/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
69,American Eagle Airlines (Envoy Air),3/30/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
70,American Eagle Airlines (Envoy Air),3/31/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
71,Skywest Airlines,3/31/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
72,American Eagle Airlines (Envoy Air),3/31/20,50,41.6395,Newark,NJ,EWR,Albany,NY,ALB
73,American Eagle Airlines (Envoy Air),4/1/20,50,42.203,Newark,NJ,EWR,Albany,NY,ALB
74,American Eagle Airlines (Envoy Air),4/1/20,50,42.203,Newark,NJ,EWR,Albany,NY,ALB
75,Mesa Airlines,4/1/20,50,42.203,Newark,NJ,EWR,Albany,NY,ALB
76,Southwest Airlines Co.,3/22/20,76,61.39584,Chicago,IL,ORD,Albany,NY,ALB
77,Southwest Airlines Co.,3/23/20,76,61.39584,Chicago,IL,ORD,Albany,NY,ALB
78,Southwest Airlines Co.,3/24/20,76,61.39584,Chicago,IL,ORD,Albany,NY,ALB
79,Southwest Airlines Co.,3/24/20,70,56.5488,Chicago,IL,ORD,Albany,NY,ALB
