state,date,type,code,,,,,,,,
Alabama,3/19/20,0,AL,1,,,,,,,
Alabama,3/20/20,0,AL,2,,,,,,,
Alabama,3/21/20,0,AL,3,,,,,,,
Alabama,3/22/20,0,AL,4,,,,,,,
Alabama,3/23/20,0,AL,5,,,,,,,
Alabama,3/24/20,0,AL,6,,,,,,,
Alabama,3/25/20,0,AL,7,,,,,,,
Alabama,3/26/20,0.5,AL,8,,,,,,,
Alabama,3/27/20,0.5,AL,9,,,,,,,
Alabama,3/28/20,0.5,AL,10,,,,,,1.25,0.75
Alabama,3/29/20,0.5,AL,11,,,,,,,
Alabama,3/30/20,0.5,AL,12,,,,,,,
Alabama,3/31/20,0.5,AL,13,,,,,,,
Alabama,4/1/20,0.5,AL,14,,,,,,,
Alabama,4/2/20,0.5,AL,15,,,,,,,
Alabama,4/3/20,0.5,AL,16,,,,,,,
Alabama,4/4/20,1,AL,17,,,,,,,
Alabama,4/5/20,1,AL,18,,,,,,,
Alabama,4/6/20,1,AL,19,,,,,,,
Alabama,4/7/20,1,AL,20,,,,,,,
Alabama,4/21/20,1,AL,21,,,,,,,
Alabama,4/24/20,1,AL,22,,,,,,,
Alabama,4/25/20,1,AL,23,,,,,,,
Alabama,4/26/20,1,AL,24,,,,,,,
Alabama,4/27/20,1,AL,25,,,,,,,
Alabama,4/28/20,1,AL,26,,,,,,,
Alabama,4/29/20,1,AL,27,,,,,,,
Alabama,4/30/20,0.55,AL,28,,,,,,,
Alabama,5/1/20,0.55,AL,29,,,,,,,
Alabama,5/2/20,0.55,AL,30,,,,,,,
Alabama,5/3/20,0.55,AL,31,,,,,,,
Alabama,5/4/20,0.55,AL,32,,,,,,,
Alaska,3/19/20,0,AK,,,,,,,,
Alaska,3/20/20,0,AK,,,,,,,,
Alaska,3/21/20,0,AK,,,,,,,,
Alaska,3/22/20,0,AK,,,,,,,,
Alaska,3/23/20,0,AK,,,,,,,,
Alaska,3/24/20,0,AK,,,,,,,,
Alaska,3/25/20,0,AK,,,,,,,,
Alaska,3/26/20,0,AK,,,,,,,,
Alaska,3/27/20,0,AK,,,,,,,,
Alaska,3/28/20,1,AK,,,,,,,,
Alaska,3/29/20,1,AK,,,,,,,,
Alaska,3/30/20,1,AK,,,,,,,,
Alaska,3/31/20,1,AK,,,,,,,,
Alaska,4/1/20,1,AK,,,,,,,,
Alaska,4/2/20,1,AK,,,,,,,,
Alaska,4/3/20,1,AK,,,,,,,,
Alaska,4/4/20,1,AK,,,,,,,,
Alaska,4/5/20,1,AK,,,,,,,,
Alaska,4/6/20,1,AK,,,,,,,,
Alaska,4/7/20,1,AK,,,,,,,,
Alaska,4/21/20,1,AK,,,,,,,,
