State,code,date,claims
Alabama,AL,1/1/20,4578
Alaska,AK,1/1/20,981
Arizona,AZ,1/1/20,3132
Arkansas,AR,1/1/20,2576
California,CA,1/1/20,36720
Colorado,CO,1/1/20,2431
Connecticut,CT,1/1/20,7852
Delaware,DE,1/1/20,875
District of Columbia,DC,1/1/20,481
Florida,FL,1/1/20,4618
Georgia,GA,1/1/20,17060
Hawaii,HI,1/1/20,1825
Idaho,ID,1/1/20,2957
Illinois,IL,1/1/20,11779
Indiana,IN,1/1/20,4434
Iowa,IA,1/1/20,4586
Kansas,KS,1/1/20,2019
Kentucky,KY,1/1/20,5175
Louisiana,LA,1/1/20,1658
Maine,ME,1/1/20,1663
Maryland,MD,1/1/20,3997
Massachusetts,MA,1/1/20,9464
Michigan,MI,1/1/20,13207
Minnesota,MN,1/1/20,7293
Mississippi,MS,1/1/20,1178
Missouri,MO,1/1/20,7474
Montana,MT,1/1/20,1555
Nebraska,NE,1/1/20,1099
Nevada,NV,1/1/20,2264
New Hampshire,NH,1/1/20,690
New Jersey,NJ,1/1/20,15325
New Mexico,NM,1/1/20,799
New York,NY,1/1/20,44846
North Carolina,NC,1/1/20,3508
North Dakota,ND,1/1/20,836
Ohio,OH,1/1/20,10759
Oklahoma,OK,1/1/20,2943
Oregon,OR,1/1/20,6714
Pennsylvania,PA,1/1/20,27298
Rhode Island,RI,1/1/20,1972
South Carolina,SC,1/1/20,7471
South Dakota,SD,1/1/20,398
Tennessee,TN,1/1/20,3084
Texas,TX,1/1/20,12367
Utah,UT,1/1/20,1518
Vermont,VT,1/1/20,680
Virginia,VA,1/1/20,3188
Washington,WA,1/1/20,10024
West Virginia,WV,1/1/20,1564
Wisconsin,WI,1/1/20,12854
Wyoming,WY,1/1/20,662
Alabama,AL,1/11/20,3629
Alaska,AK,1/11/20,1371
Arizona,AZ,1/11/20,4654
Arkansas,AR,1/11/20,2493
California,CA,1/11/20,51993
Colorado,CO,1/11/20,3001
Connecticut,CT,1/11/20,5986
Delaware,DE,1/11/20,1107
District of Columbia,DC,1/11/20,706
Florida,FL,1/11/20,6862
Georgia,GA,1/11/20,17962
Hawaii,HI,1/11/20,1826
Idaho,ID,1/11/20,2131
Illinois,IL,1/11/20,12703
Indiana,IN,1/11/20,4890
Iowa,IA,1/11/20,4836
Kansas,KS,1/11/20,2140
Kentucky,KY,1/11/20,3968
Louisiana,LA,1/11/20,2521
Maine,ME,1/11/20,1561
Maryland,MD,1/11/20,4627
Massachusetts,MA,1/11/20,8784
Michigan,MI,1/11/20,14245
Minnesota,MN,1/11/20,5933
Mississippi,MS,1/11/20,1515
Missouri,MO,1/11/20,10913
Montana,MT,1/11/20,1755
