code,month,UEP Rate,State,year,Month
AL,Jan,6,Alabama,2015,2015-01
AL,Feb,6,Alabama,2015,2015-02
AL,Mar,6.1,Alabama,2015,2015-03
AL,Apr,6.1,Alabama,2015,2015-04
AL,May,6.2,Alabama,2015,2015-05
AL,Jun,6.2,Alabama,2015,2015-06
AL,Jul,6.2,Alabama,2015,2015-07
AL,Aug,6.1,Alabama,2015,2015-08
AL,Sep,6.1,Alabama,2015,2015-09
AL,Oct,6,Alabama,2015,2015-10
AL,Nov,6,Alabama,2015,2015-11
AL,Dec,6,Alabama,2015,2015-12
AL,Jan,6,Alabama,2016,2016-01
AL,Feb,5.9,Alabama,2016,2016-02
AL,Mar,5.9,Alabama,2016,2016-03
AL,Apr,5.8,Alabama,2016,2016-04
AL,May,5.8,Alabama,2016,2016-05
AL,Jun,5.8,Alabama,2016,2016-06
AL,Jul,5.8,Alabama,2016,2016-07
AL,Aug,5.8,Alabama,2016,2016-08
AL,Sep,5.9,Alabama,2016,2016-09
AL,Oct,5.9,Alabama,2016,2016-10
AL,Nov,5.8,Alabama,2016,2016-11
AL,Dec,5.7,Alabama,2016,2016-12
AL,Jan,5.4,Alabama,2017,2017-01
AL,Feb,5.2,Alabama,2017,2017-02
AL,Mar,4.9,Alabama,2017,2017-03
AL,Apr,4.7,Alabama,2017,2017-04
AL,May,4.5,Alabama,2017,2017-05
AL,Jun,4.3,Alabama,2017,2017-06
AL,Jul,4.2,Alabama,2017,2017-07
AL,Aug,4.1,Alabama,2017,2017-08
AL,Sep,4,Alabama,2017,2017-09
AL,Oct,3.9,Alabama,2017,2017-10
AL,Nov,3.9,Alabama,2017,2017-11
AL,Dec,3.9,Alabama,2017,2017-12
AL,Jan,3.9,Alabama,2018,2018-01
AL,Feb,3.9,Alabama,2018,2018-02
AL,Mar,4,Alabama,2018,2018-03
AL,Apr,4,Alabama,2018,2018-04
AL,May,4,Alabama,2018,2018-05
AL,Jun,4,Alabama,2018,2018-06
AL,Jul,4,Alabama,2018,2018-07
AL,Aug,3.9,Alabama,2018,2018-08
AL,Sep,3.8,Alabama,2018,2018-09
AL,Oct,3.7,Alabama,2018,2018-10
AL,Nov,3.7,Alabama,2018,2018-11
AL,Dec,3.6,Alabama,2018,2018-12
AL,Jan,3.6,Alabama,2019,2019-01
AL,Feb,3.5,Alabama,2019,2019-02
AL,Mar,3.3,Alabama,2019,2019-03
AL,Apr,3.2,Alabama,2019,2019-04
AL,May,3,Alabama,2019,2019-05
AL,Jun,2.9,Alabama,2019,2019-06
AL,Jul,2.8,Alabama,2019,2019-07
AL,Aug,2.8,Alabama,2019,2019-08
AL,Sep,2.7,Alabama,2019,2019-09
AL,Oct,2.7,Alabama,2019,2019-10
AL,Nov,2.7,Alabama,2019,2019-11
AL,Dec,2.7,Alabama,2019,2019-12
AL,Jan,2.7,Alabama,2020,2020-01
AL,Feb,2.7,Alabama,2020,2020-02
AL,Mar,3.5,Alabama,2020,2020-03
AK,Jan,6.5,Alaska,2015,2015-01
AK,Feb,6.5,Alaska,2015,2015-02
AK,Mar,6.5,Alaska,2015,2015-03
AK,Apr,6.5,Alaska,2015,2015-04
AK,May,6.5,Alaska,2015,2015-05
AK,Jun,6.5,Alaska,2015,2015-06
AK,Jul,6.5,Alaska,2015,2015-07
AK,Aug,6.5,Alaska,2015,2015-08
AK,Sep,6.5,Alaska,2015,2015-09
AK,Oct,6.6,Alaska,2015,2015-10
AK,Nov,6.6,Alaska,2015,2015-11
AK,Dec,6.7,Alaska,2015,2015-12
AK,Jan,6.7,Alaska,2016,2016-01
AK,Feb,6.8,Alaska,2016,2016-02
AK,Mar,6.8,Alaska,2016,2016-03
AK,Apr,6.8,Alaska,2016,2016-04
AK,May,6.9,Alaska,2016,2016-05
AK,Jun,6.9,Alaska,2016,2016-06
AK,Jul,6.9,Alaska,2016,2016-07
AK,Aug,6.9,Alaska,2016,2016-08
