word,count,change
new york,5897,-2.0
stay home,5440,1
specific medical,3439,New
tested positive,2797,2
stay safe,2614,0
death toll,2239,-5
corona virus,2217,1
gon na,1964,0
year old,1877,-4
fake news,1767,-6
sign petition,1637,-9
fight covid,1599,-9
public health,1540,-1
health care,1521,5
positive covid,1439,8
president trump,1411,4
petition via,1371,-11
sign petition via,1354,-13
many people,1328,-3
due covid,1314,10
test positive,1161,2
good news,1088,-7
help us,1075,-2
twitter web,1061,7
white house,1020,7
prime minister,1013,22
god bless,1009,-15
around world,1008,2
new jersey,983,New
amid covid,868,3
spread covid,863,-7
social media,860,-5
take care,853,-8
death rate,850,New
york times,819,-4
new york times,814,-4
world health,799,-10
every day,776,-6
make sure,776,-6
people dying,771,7
please help,768,New
well done,766,New
virus covid,756,28
wan na,746,New
mental health,745,-5
fox news,741,3
task force,739,11
twitter android,735,New
please stay,724,New
testing positive,710,New
