word,count
new york,5897
stay home,5440
specific medical,3439
tested positive,2797
stay safe,2614
death toll,2239
corona virus,2217
gon na,1964
year old,1877
fake news,1767
sign petition,1637
fight covid,1599
public health,1540
health care,1521
positive covid,1439
president trump,1411
petition via,1371
sign petition via,1354
many people,1328
due covid,1314
test positive,1161
good news,1088
help us,1075
twitter web,1061
white house,1020
prime minister,1013
god bless,1009
around world,1008
new jersey,983
amid covid,868
spread covid,863
social media,860
take care,853
death rate,850
york times,819
new york times,814
world health,799
every day,776
make sure,776
people dying,771
please help,768
well done,766
virus covid,756
wan na,746
mental health,745
fox news,741
task force,739
twitter android,735
please stay,724
testing positive,710
