word,count,change
stay home,5719,0.0
tested positive,4883,2
new york,4791,-1
prime minister,4210,New
stay safe,3011,-2
corona virus,2552,-1
positive covid,2406,16
gon na,2221,-2
health care,1935,0
due covid,1894,-3
death toll,1890,-3
president trump,1799,2
year old,1771,-2
public health,1759,-1
virus covid,1707,21
fake news,1673,5
twitter web,1622,-2
white house,1523,7
test positive,1455,11
sign petition,1437,-10
fight covid,1415,3
many people,1411,0
relief bill,1321,New
get well,1298,New
help us,1294,-9
around world,1236,2
amid covid,1225,0
petition via,1190,-11
good news,1184,-3
well soon,1173,New
sign petition via,1168,-12
stimulus bill,1161,0
people dying,1132,-15
stimulus package,1115,-14
get well soon,1115,New
task force,1099,-5
social media,1049,4
spread covid,1046,-3
york times,1018,0
new york times,1012,-2
take care,969,4
god bless,969,7
fox news,954,-10
every day,912,2
make sure,908,-8
self isolation,885,2
world health,847,New
get tested,835,New
breaking news,817,New
mental health,814,New
