word,count
new york,5680
death toll,4457
stay home,3841
minute silence,3247
due covid,2956
tested positive,2634
health care,2575
twitter web,2451
join us,2164
public health,2153
white house,2029
front line,2022
task force,1933
fight covid,1902
positive covid,1881
wear mask,1860
amid covid,1850
mike pence,1826
gon na,1811
at home,1805
president trump,1778
mental health,1736
stay safe,1731
year old,1657
corona virus,1647
death rate,1636
stay at,1609
stay at home,1598
many people,1562
care home,1556
pandemia covid,1496
social media,1486
around world,1475
fox news,1473
new covid,1467
fake news,1406
test positive,1366
contact tracing,1365
face mask,1321
da covid,1299
help us,1267
last week,1183
wearing mask,1162
every day,1158
long term,1133
back work,1133
make sure,1106
sign petition,1102
new york times,1095
york times,1095
