word,count,change
new york,4898,1.0
stay home,4196,2
death toll,3973,-2
world health,2162,28
president trump,2146,10
task force,2141,12
trump administration,2078,New
one world,2029,-5
white house,1992,15
fox news,1950,15
fake news,1938,12
health organization,1905,29
world health organization,1882,31
gon na,1871,-2
due covid,1847,-5
tested positive,1809,-7
corona virus,1776,4
stay safe,1747,-1
public health,1734,3
amid covid,1689,17
twitter web,1616,14
at home,1591,-8
many people,1568,3
fight covid,1553,-8
real time,1530,New
stay at,1464,-7
stay at home,1456,-7
health care,1445,-1
around world,1422,11
together home,1327,-24
year old,1311,8
new covid,1267,6
world together,1238,-28
positive covid,1226,-5
test positive,1198,-4
one world together,1188,-28
herd immunity,1184,6
york times,1183,New
new york times,1175,New
death rate,1164,5
world together home,1156,-34
prime minister,1146,New
go back,1110,7
good news,1023,5
help us,1021,New
mental health,997,New
back work,974,New
first time,970,New
time information,947,New
real time information,944,New
